bin,n,mean_probability,observed_rate,abs_error
"(-0.001, 0.1]",6,0.03589685383553098,0.3333333333333333,0.29743647949780233
"(0.1, 0.2]",15,0.13944465304565642,0.3333333333333333,0.1938886802876769
"(0.2, 0.3]",5,0.23529570203767322,0.2,0.03529570203767321
"(0.3, 0.4]",6,0.3528658146068934,0.3333333333333333,0.01953248127356011
"(0.4, 0.5]",4,0.4617066589108786,0.25,0.2117066589108786
"(0.5, 0.6]",3,0.5406856990066021,0.3333333333333333,0.2073523656732688
"(0.6, 0.7]",4,0.6537503082591452,0.25,0.40375030825914515
"(0.7, 0.8]",4,0.7513997936030425,0.75,0.0013997936030425429
"(0.8, 0.9]",5,0.8394766291394447,0.8,0.03947662913944461
"(0.9, 1.0]",5,0.9401206373658578,0.6,0.34012063736585785
