bin,n,mean_probability,observed_rate,abs_error
"(-0.001, 0.1]",5,0.03465404925303572,0.2,0.1653459507469643
"(0.1, 0.2]",3,0.14107097525493786,0.6666666666666666,0.5255956914117288
"(0.2, 0.3]",2,0.26628459302255825,1.0,0.7337154069774418
"(0.3, 0.4]",5,0.354652396542517,0.0,0.354652396542517
"(0.4, 0.5]",3,0.4665957740942754,0.3333333333333333,0.13326244076094207
"(0.5, 0.6]",0,,,
"(0.6, 0.7]",5,0.6593008104483078,0.8,0.14069918955169225
"(0.7, 0.8]",0,,,
"(0.8, 0.9]",2,0.8927984745278896,0.5,0.39279847452788963
"(0.9, 1.0]",2,0.9534271831631633,1.0,0.04657281683683667
