row_number,event_id,ticker,reaction_start,event_time,event_type,biotech_catalyst_event_type,event_direction_pre_price,trial_phase,market_cap_bucket,binary_catalyst_flag,designation_only_flag,clinical_trial_readout_flag,regulatory_decision_flag,y_true,actual_positive,predicted_positive_probability,predicted_positive,baseline_positive_probability,model_status,purge_days,train_rows_after_purge,car_sector_adj_h1,car_sector_adj_simple_h1,car_market_model_h1,car_index_adj_h1,raw_return_h1,position,gross_event_return,trade_cost,net_event_return
40,MGNX_8-K_2024-10-30_0001193125-24-247017,MGNX,2024-10-30,2024-10-30 11:40:01,fda_approval,fda_approval,positive,unknown,micro_lt_300m,True,False,False,True,1,1,0.011281602142053582,0,0.375,ok,3,40,0.019226126922619966,0.01941213908626871,0.033745773693880834,0.020834387860781893,0.017964126568860372,-1,0.01941213908626871,0.001,-0.02041213908626871
42,ROIV_8-K_2024-12-03_0001140361-24-048238,ROIV,2024-12-03,2024-12-03 12:20:26,phase_2_readout,phase_2_readout,negative,phase_2,mid_2b_10b,True,False,True,False,0,0,0.38029301937743526,0,0.38095238095238093,ok,3,42,-0.012823256547424926,-0.012741388903409034,-0.029972921354219154,-0.029733927178565264,-0.02884612739438741,-1,-0.012741388903409034,0.001,0.011741388903409034
43,DNLI_8-K_2025-01-07_0001714899-25-000007,DNLI,2025-01-06,2025-01-06 23:13:37,phase_3_readout,phase_3_readout,negative,phase_2_3,mid_2b_10b,True,False,True,False,0,0,0.34316399722450025,0,0.37209302325581395,ok,3,43,-0.06796916248134045,-0.0657107157037764,-0.0791984653524055,-0.07587990366825986,-0.06773285599975543,-1,-0.0657107157037764,0.001,0.0647107157037764
44,REPL_8-K_2025-01-22_0001104659-25-005291,REPL,2025-01-22,2025-01-22 22:00:22,priority_review,priority_review,positive,phase_3,small_300m_2b,False,True,False,True,1,1,0.2416317737989235,0,0.36363636363636365,ok,3,44,0.08645449134786666,0.0903017484257449,0.0888528432656547,0.08855304561564445,0.0987341804750923,-1,0.0903017484257449,0.001,-0.0913017484257449
45,SMMT_8-K_2025-02-24_0001599298-25-000044,SMMT,2025-02-24,2025-02-24 11:08:58,phase_3_readout,phase_3_readout,mixed,phase_3,large_gt_10b,False,False,True,False,0,0,0.6537263016226058,1,0.37777777777777777,ok,3,45,-0.14300879347624323,-0.13325355285231377,-0.14775189382019313,-0.15593907240224067,-0.14828212306519883,1,-0.13325355285231377,0.001,-0.13425355285231377
46,DNLI_8-K_2025-03-05_0001714899-25-000072,DNLI,2025-03-05,2025-03-05 22:26:35,phase_3_readout,phase_3_readout,negative,phase_2_3,mid_2b_10b,True,False,True,False,1,1,0.15987359382637106,0,0.3695652173913043,ok,3,46,0.002274804247224125,0.0022773935774398346,0.002368603293062186,0.011015782675993126,0.02194353805522309,-1,0.0022773935774398346,0.001,-0.0032773935774398346
47,ARVN_8-K_2025-03-11_0001655759-25-000057,ARVN,2025-03-11,2025-03-11 10:48:49,phase_3_readout,phase_3_readout,positive,phase_3,small_300m_2b,True,False,True,False,0,0,0.07022435536552821,0,0.3829787234042553,ok,3,47,-0.748556082243272,-0.5269508961505529,-0.7300069729116352,-0.7410204267031855,-0.5273348266990148,-1,-0.5269508961505529,0.001,0.5259508961505529
48,RYTM_8-K_2025-04-07_0001558370-25-004507,RYTM,2025-04-07,2025-04-07 11:01:12,phase_3_readout,phase_3_readout,positive,phase_3,mid_2b_10b,True,False,True,False,1,1,0.8876501012224681,1,0.375,ok,3,48,0.16665982180871294,0.1813523266491024,0.15892415206824548,0.15930519077202018,0.17060699023153147,1,0.1813523266491024,0.001,0.1803523266491024
49,SMMT_8-K_2025-04-23_0001599298-25-000064,SMMT,2025-04-23,2025-04-23 12:54:14,phase_3_readout,phase_3_readout,mixed,phase_3,large_gt_10b,False,False,True,False,1,1,0.16250569068024792,0,0.3877551020408163,ok,3,49,0.1761064131926369,0.1925649565431975,0.17000893680371398,0.17935988180953955,0.2149908255485964,-1,0.1925649565431975,0.001,-0.1935649565431975
50,PTCT_8-K_2025-05-05_0001070081-25-000014,PTCT,2025-05-05,2025-05-05 11:55:12,phase_2_readout,phase_2_readout,mixed,phase_2,mid_2b_10b,True,False,True,False,0,0,0.897946847833311,1,0.4,ok,3,50,-0.19579193533679642,-0.1778167158289954,-0.2024590324895562,-0.20027273862736275,-0.1861861680683038,1,-0.1778167158289954,0.001,-0.1788167158289954
