event_id,ticker,event_time_raw,source_event_time_utc,sec_acceptance_time_et,release_session_used,session_from_sec_acceptance_et,session_mismatch,reaction_start,expected_reaction_start_from_sec_session,expected_reaction_start_from_used_session,reaction_start_before_expected,first_tradable_window_status,timestamp_risk_level,source_doc_count,source_types,press_release_time_status,fda_page_timing_status,timestamp_findings
EXEL_8-K_2020-04-20_0000939767-20-000051,EXEL,2020-04-20 11:02:56,2020-04-20T11:02:56+00:00,2020-04-20T07:02:56-04:00,intraday,before_open,True,2020-04-20,2020-04-20,2020-04-20,False,ok,low,1,sec_primary_filing,not_separately_available,not_available_in_local_artifacts,release_session_differs_from_sec_acceptance_et;session_mismatch_no_daily_window_shift
TGTX_8-K_2020-05-05_0001558370-20-005097,TGTX,2020-05-05 11:30:48,2020-05-05T11:30:48+00:00,2020-05-05T07:30:48-04:00,intraday,before_open,True,2020-05-05,2020-05-05,2020-05-05,False,ok,low,2,sec_exhibit;sec_primary_filing,sec_exhibit_acceptance_only,not_available_in_local_artifacts,release_session_differs_from_sec_acceptance_et;session_mismatch_no_daily_window_shift
RGNX_8-K_2020-10-27_0001193125-20-277495,RGNX,2020-10-27 11:14:31,2020-10-27T11:14:31+00:00,2020-10-27T07:14:31-04:00,intraday,before_open,True,2020-10-27,2020-10-27,2020-10-27,False,ok,low,2,sec_exhibit;sec_primary_filing,sec_exhibit_acceptance_only,not_available_in_local_artifacts,release_session_differs_from_sec_acceptance_et;session_mismatch_no_daily_window_shift
TGTX_8-K_2021-02-08_0001558370-21-000791,TGTX,2021-02-08 12:01:23,2021-02-08T12:01:23+00:00,2021-02-08T07:01:23-05:00,intraday,before_open,True,2021-02-08,2021-02-08,2021-02-08,False,ok,low,2,sec_exhibit;sec_primary_filing,sec_exhibit_acceptance_only,not_available_in_local_artifacts,release_session_differs_from_sec_acceptance_et;session_mismatch_no_daily_window_shift
AUPH_8-K_2021-02-24_0001628280-21-003067,AUPH,2021-02-24 21:14:27,2021-02-24T21:14:27+00:00,2021-02-24T16:14:27-05:00,after_close,after_close,False,2021-02-25,2021-02-25,2021-02-25,False,ok,low,5,sec_exhibit;sec_primary_filing,sec_exhibit_acceptance_only,not_available_in_local_artifacts,after_close_correctly_shifted_to_next_trading_day
RCKT_8-K_2021-05-10_0001140361-21-016639,RCKT,2021-05-10 20:42:14,2021-05-10T20:42:14+00:00,2021-05-10T16:42:14-04:00,after_close,after_close,False,2021-05-11,2021-05-11,2021-05-11,False,ok,low,2,sec_exhibit;sec_primary_filing,sec_exhibit_acceptance_only,not_available_in_local_artifacts,after_close_correctly_shifted_to_next_trading_day
XENE_8-K_2021-08-23_0001564590-21-045346,XENE,2021-08-23 12:33:34,2021-08-23T12:33:34+00:00,2021-08-23T08:33:34-04:00,intraday,before_open,True,2021-08-23,2021-08-23,2021-08-23,False,ok,low,2,sec_exhibit;sec_primary_filing,sec_exhibit_acceptance_only,not_available_in_local_artifacts,release_session_differs_from_sec_acceptance_et;session_mismatch_no_daily_window_shift
EDIT_8-K_2021-09-29_0001558370-21-012862,EDIT,2021-09-29 13:05:48,2021-09-29T13:05:48+00:00,2021-09-29T09:05:48-04:00,intraday,before_open,True,2021-09-29,2021-09-29,2021-09-29,False,ok,low,2,sec_exhibit;sec_primary_filing,sec_exhibit_acceptance_only,not_available_in_local_artifacts,release_session_differs_from_sec_acceptance_et;session_mismatch_no_daily_window_shift
XENE_8-K_2021-10-04_0001564590-21-049880,XENE,2021-10-04 11:03:30,2021-10-04T11:03:30+00:00,2021-10-04T07:03:30-04:00,intraday,before_open,True,2021-10-04,2021-10-04,2021-10-04,False,ok,low,2,sec_exhibit;sec_primary_filing,sec_exhibit_acceptance_only,not_available_in_local_artifacts,release_session_differs_from_sec_acceptance_et;session_mismatch_no_daily_window_shift
CRSP_8-K_2021-10-12_0001193125-21-296954,CRSP,2021-10-12 20:46:22,2021-10-12T20:46:22+00:00,2021-10-12T16:46:22-04:00,after_close,after_close,False,2021-10-13,2021-10-13,2021-10-13,False,ok,low,3,sec_exhibit;sec_primary_filing,sec_exhibit_acceptance_only,not_available_in_local_artifacts,after_close_correctly_shifted_to_next_trading_day
