dataset_split,group_name,group_value,horizon,n,expected_direction,mean_car_sector_adj,median_car_sector_adj,winsorized_mean_car_sector_adj_5_95,negative_rate,positive_rate,sign_accuracy,mean_simple_sector_adj,median_simple_sector_adj,mean_abs_car_sector_adj
combined,all,all,1,61,negative,-0.11940452729359727,-0.0508413293105955,-0.09778834459531978,0.7049180327868853,0.29508196721311475,0.7049180327868853,-0.07897988111591325,-0.04957053613286844,0.16654912335743854
combined,biotech_catalyst_event_type,trial_halt,1,15,negative,-0.09974573383245108,-0.0473222161969734,-0.06629107005897514,0.6666666666666666,0.3333333333333333,0.6666666666666666,-0.06970868438849026,-0.04621997529953947,0.14995726363650755
combined,biotech_catalyst_event_type,safety_signal,1,14,negative,-0.062153148301556584,-0.0267044262692226,-0.057874801383507514,0.5714285714285714,0.42857142857142855,0.5714285714285714,-0.0549876190342767,-0.026173236022221547,0.08894808350500025
combined,biotech_catalyst_event_type,fda_complete_response_letter,1,11,negative,-0.13758168513995075,-0.0237959867167755,-0.11245306640235518,0.7272727272727273,0.2727272727272727,0.7272727272727273,-0.0409057507385473,-0.023515094670497394,0.2636797005674501
combined,biotech_catalyst_event_type,trial_discontinuation,1,11,negative,-0.10059607793443436,-0.0758163016455555,-0.10301863950856975,0.8181818181818182,0.18181818181818182,0.8181818181818182,-0.08742631488268322,-0.07301352318989673,0.1324836386152543
combined,biotech_catalyst_event_type,phase_3_readout,1,7,negative,-0.23047501659710465,-0.0679691624813404,-0.18380599107154083,0.7142857142857143,0.2857142857142857,0.7142857142857143,-0.1509617675041353,-0.06571071570377629,0.2318574427104971
combined,biotech_catalyst_event_type,phase_2_readout,1,2,negative,-0.043660586944987,-0.043660586944987,-0.04366058694498701,1.0,0.0,1.0,-0.042265990852100366,-0.042265990852100366,0.043660586944987
combined,biotech_catalyst_event_type,endpoint_failure,1,1,negative,-0.5967443973129318,-0.5967443973129318,-0.5967443973129318,1.0,0.0,1.0,-0.4493987396967971,-0.4493987396967971,0.5967443973129318
combined,market_cap_bucket,small_300m_2b,1,33,negative,-0.1251749544410295,-0.0886980204370418,-0.11391225571849901,0.7272727272727273,0.2727272727272727,0.7272727272727273,-0.0851837470712521,-0.0848781200417249,0.192818865357988
combined,market_cap_bucket,mid_2b_10b,1,18,negative,-0.016956795807501437,-0.00687018257829415,-0.01781922904027835,0.5555555555555556,0.4444444444444444,0.5555555555555556,-0.014246477272884342,-0.006833709718848058,0.05142310822853975
combined,market_cap_bucket,large_gt_10b,1,5,negative,-0.053580349244236034,-0.0315090490759111,-0.04949149022740658,1.0,0.0,1.0,-0.05051874735764088,-0.031017811979309307,0.053580349244236034
combined,market_cap_bucket,micro_lt_300m,1,5,negative,-0.5159557195198508,-0.0621697377643017,-0.4983718605155928,0.8,0.2,0.8,-0.2995357534038533,-0.06027663329014643,0.5205912547310503
combined,negative_catalyst_family,trial_halt_or_discontinuation,1,26,negative,-0.10010549479867478,-0.0582118542292809,-0.0762432315920425,0.7307692307692307,0.2692307692307692,0.7307692307692307,-0.07720460498218727,-0.056542558112787134,0.1425645761275158
combined,negative_catalyst_family,major_safety_signal,1,14,negative,-0.062153148301556584,-0.0267044262692226,-0.057874801383507514,0.5714285714285714,0.42857142857142855,0.5714285714285714,-0.0549876190342767,-0.026173236022221547,0.08894808350500025
combined,negative_catalyst_family,complete_response_letter,1,11,negative,-0.13758168513995075,-0.0237959867167755,-0.11245306640235518,0.7272727272727273,0.2727272727272727,0.7272727272727273,-0.0409057507385473,-0.023515094670497394,0.2636797005674501
combined,negative_catalyst_family,endpoint_failure_or_trial_failure,1,10,negative,-0.22973906873826383,-0.07123353991194475,-0.20052364299301692,0.8,0.2,0.8,-0.15906630939299454,-0.06875065425228405,0.2307067670176386
combined,trial_phase,phase_3,1,19,negative,-0.11730704715538387,-0.0508413293105955,-0.07678110769941653,0.7368421052631579,0.2631578947368421,0.7368421052631579,-0.08170044502890034,-0.04957053613286844,0.1562076967971253
combined,trial_phase,unknown,1,12,negative,-0.16172717842907117,-0.03555910145687445,-0.14989031141441808,0.6666666666666666,0.3333333333333333,0.6666666666666666,-0.06188342739953897,-0.034867534985018434,0.28233071743660554
combined,trial_phase,phase_1_2,1,10,negative,-0.10497987220612448,-0.08083293831891089,-0.10013109951497745,0.8,0.2,0.8,-0.09523384122355016,-0.07755972829942948,0.10855654463139494
combined,trial_phase,phase_2,1,7,negative,-0.15403620224383271,-0.0128232565474249,-0.1265161695492945,0.5714285714285714,0.42857142857142855,0.5714285714285714,-0.09682600269711121,-0.012741388903408923,0.21130426206127592
combined,trial_phase,phase_2_3,1,7,negative,-0.06133767162509136,-0.0679691624813404,-0.06371390762027807,0.7142857142857143,0.2857142857142857,0.7142857142857143,-0.056632631917190035,-0.06571071570377629,0.08149067213094732
combined,trial_phase,phase_1,1,5,negative,-0.1154852713650979,-0.0886980204370418,-0.11473978059229376,0.8,0.2,0.8,-0.1034513307812801,-0.0848781200417249,0.12954512451973527
combined,trial_phase,pivotal,1,1,negative,0.0207260681609168,0.0207260681609168,0.0207260681609168,0.0,1.0,0.0,0.020942344714876215,0.020942344714876215,0.0207260681609168
fresh,all,all,1,27,negative,-0.1501147978143168,-0.0621697377643017,-0.14926295738902726,0.6666666666666666,0.3333333333333333,0.6666666666666666,-0.0833374253098721,-0.06027663329014643,0.21267020268004114
fresh,biotech_catalyst_event_type,safety_signal,1,9,negative,-0.07049789792425608,-0.0458138914426445,-0.06616684208827806,0.6666666666666666,0.3333333333333333,0.6666666666666666,-0.06187325838894548,-0.044780279786856614,0.10039379823784716
