event_id,ticker,reaction_start,selected_event_time,selected_event_time_source,release_session,first_tradable_timestamp,timestamp_confidence,timestamp_notes,timestamp_ambiguous,model_eligible,original_session_from_sec_acceptance_et,session_from_sec_acceptance_et
TMDX_8-K_2020-05-26_0001193125-20-150831,TMDX,2020-05-26,2020-05-26T11:15:32+00:00,sec_acceptance_time,before_open,2020-05-26T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
ARVN_8-K_2020-05-29_0001193125-20-154927,ARVN,2020-05-29,2020-05-29T11:06:02+00:00,sec_acceptance_time,before_open,2020-05-29T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
MGNX_8-K_2020-05-29_0001125345-20-000103,MGNX,2020-05-29,2020-05-29T12:33:04+00:00,sec_acceptance_time,before_open,2020-05-29T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
SGMO_8-K_2020-06-18_0001193125-20-171977,SGMO,2020-06-18,2020-06-18T13:26:43+00:00,sec_acceptance_time,before_open,2020-06-18T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
ALKS_8-K_2020-11-17_0001564590-20-054254,ALKS,2020-11-17,2020-11-17T12:15:01+00:00,sec_acceptance_time,before_open,2020-11-17T09:30:00-05:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
RCKT_8-K_2021-05-10_0001140361-21-016639,RCKT,2021-05-11,2021-05-10T20:42:14+00:00,sec_acceptance_time,after_close,2021-05-11T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,after_close,before_open
EDIT_8-K_2021-09-29_0001558370-21-012862,EDIT,2021-09-29,2021-09-29T13:05:48+00:00,sec_acceptance_time,before_open,2021-09-29T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
OMER_8-K_2021-10-18_0001558370-21-013245,OMER,2021-10-18,2021-10-18T11:02:18+00:00,sec_acceptance_time,before_open,2021-10-18T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
ZLAB_8-K_2021-11-05_0001193125-21-321607,ZLAB,2021-11-08,2021-11-05T20:14:59+00:00,sec_acceptance_time,after_close,2021-11-08T09:30:00-05:00,high,original_reaction_window_started_before_first_tradable,False,True,after_close,before_open
KURA_8-K_2021-11-24_0001193125-21-339334,KURA,2021-11-24,2021-11-24T11:50:58+00:00,sec_acceptance_time,before_open,2021-11-24T09:30:00-05:00,high,none,False,True,before_open,before_open
SGMO_8-K_2021-12-13_0001628280-21-024895,SGMO,2021-12-13,2021-12-13T14:01:48+00:00,sec_acceptance_time,before_open,2021-12-13T09:30:00-05:00,high,none,False,True,before_open,before_open
BBIO_8-K_2021-12-27_0001193125-21-366669,BBIO,2021-12-27,2021-12-27T12:06:03+00:00,sec_acceptance_time,before_open,2021-12-27T09:30:00-05:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
BEAM_8-K_2022-08-01_0000950170-22-013559,BEAM,2022-08-01,2022-08-01T10:50:30+00:00,sec_acceptance_time,before_open,2022-08-01T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
BEAM_8-K_2022-08-30_0000950170-22-017868,BEAM,2022-08-30,2022-08-30T11:08:34+00:00,sec_acceptance_time,before_open,2022-08-30T09:30:00-04:00,high,none,False,True,before_open,before_open
SMMT_8-K_2022-10-04_0001599298-22-000111,SMMT,2022-10-04,2022-10-04T12:02:29+00:00,sec_acceptance_time,before_open,2022-10-04T09:30:00-04:00,high,none,False,True,before_open,before_open
EDIT_8-K_2022-11-17_0001558370-22-018016,EDIT,2022-11-17,2022-11-17T12:30:21+00:00,sec_acceptance_time,before_open,2022-11-17T09:30:00-05:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
MIRM_8-K_2022-11-29_0001193125-22-293893,MIRM,2022-11-29,2022-11-29T13:01:03+00:00,sec_acceptance_time,before_open,2022-11-29T09:30:00-05:00,high,none,False,True,before_open,before_open
EDIT_8-K_2022-12-06_0001558370-22-018383,EDIT,2022-12-06,2022-12-06T11:41:38+00:00,sec_acceptance_time,before_open,2022-12-06T09:30:00-05:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
SGMO_8-K_2022-12-12_0001628280-22-031695,SGMO,2022-12-12,2022-12-10T00:01:05+00:00,sec_acceptance_time,after_close,2022-12-12T09:30:00-05:00,high,none,False,True,after_close,before_open
PTCT_8-K_2023-05-23_0001104659-23-063688,PTCT,2023-05-24,2023-05-23T21:17:08+00:00,sec_acceptance_time,after_close,2023-05-24T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance;original_reaction_window_started_before_first_tradable,False,True,after_close,before_open
EDIT_8-K_2023-06-09_0001558370-23-010931,EDIT,2023-06-09,2023-06-09T10:01:06+00:00,sec_acceptance_time,before_open,2023-06-09T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
ALNY_8-K_2023-10-10_0001193125-23-253084,ALNY,2023-10-10,2023-10-10T11:30:29+00:00,sec_acceptance_time,before_open,2023-10-10T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
KYMR_8-K_2023-11-02_0001193125-23-268944,KYMR,2023-11-02,2023-11-02T13:15:29+00:00,sec_acceptance_time,before_open,2023-11-02T09:30:00-04:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
SGMO_8-K_2023-11-03_0001628280-23-036697,SGMO,2023-11-06,2023-11-03T20:02:28+00:00,sec_acceptance_time,after_close,2023-11-06T09:30:00-05:00,high,original_reaction_window_started_before_first_tradable,False,True,after_close,before_open
ROIV_8-K_2023-11-27_0001140361-23-054630,ROIV,2023-11-27,2023-11-27T13:06:05+00:00,sec_acceptance_time,before_open,2023-11-27T09:30:00-05:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
REPL_8-K_2023-12-05_0001104659-23-123459,REPL,2023-12-05,2023-12-05T12:19:32+00:00,sec_acceptance_time,before_open,2023-12-05T09:30:00-05:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
MIRM_8-K_2023-12-18_0001193125-23-297614,MIRM,2023-12-19,2023-12-18T21:06:55+00:00,sec_acceptance_time,after_close,2023-12-19T09:30:00-05:00,high,original_reaction_window_started_before_first_tradable,False,True,after_close,before_open
IOVA_8-K_2023-12-27_0001104659-23-129751,IOVA,2023-12-28,2023-12-27T22:00:36+00:00,sec_acceptance_time,after_close,2023-12-28T09:30:00-05:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,after_close,before_open
AUPH_8-K_2024-02-15_0001600620-24-000010,AUPH,2024-02-15,2024-02-15T11:06:50+00:00,sec_acceptance_time,before_open,2024-02-15T09:30:00-05:00,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,True,before_open,before_open
DNLI_8-K_2024-02-16_0001714899-24-000065,DNLI,2024-02-16,2024-02-16T13:02:47+00:00,sec_acceptance_time,before_open,2024-02-16T09:30:00-05:00,high,none,False,True,before_open,before_open
