event_id,ticker,reaction_start,biotech_catalyst_event_type,drug_asset,indication,trial_name,nct_id,duplicate_key,same_key_event_count,source_doc_count,source_types,source_mirror_flag,prior_announcement_language_flag,conference_publication_language_flag,pipeline_or_investor_deck_language_flag,explicit_result_language_flag,duplicate_type,duplicate_risk_level,duplicate_findings
TMDX_8-K_2020-05-26_0001193125-20-150831,TMDX,2020-05-26,safety_signal,OCS,end-stage heart,The,,TMDX|2020-05-26|safety_signal|the,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
ARVN_8-K_2020-05-29_0001193125-20-154927,ARVN,2020-05-29,safety_signal,ARV-110,degrader that targets AR in multiple preclinical models of prostate cancer,,,ARVN|2020-05-29|safety_signal|arv 110,1,3,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
MGNX_8-K_2020-05-29_0001125345-20-000103,MGNX,2020-05-29,safety_signal,MGD013,Advanced Solid Tumors John Powderly1,,NCT03729596,MGNX|2020-05-29|safety_signal|nct03729596,1,3,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
SGMO_8-K_2020-06-18_0001193125-20-171977,SGMO,2020-06-18,safety_signal,SB-525,severe hemophilia A,,NCT03587116,SGMO|2020-06-18|safety_signal|nct03587116,1,3,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
ALKS_8-K_2020-11-17_0001564590-20-054254,ALKS,2020-11-17,fda_complete_response_letter,ALKS,adults with schizophrenia and adults with bipolar I disorder,,,ALKS|2020-11-17|fda_complete_response_letter|alks,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
RCKT_8-K_2021-05-10_0001140361-21-016639,RCKT,2021-05-11,trial_halt,RP-A501,Danon Disease Placed on Clinical Hold To Address FDA Request For Additional Risk Mitigation Methods in Protocol,RP-A501,,RCKT|2021-05-11|trial_halt|rp a501,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
EDIT_8-K_2021-09-29_0001558370-21-012862,EDIT,2021-09-29,safety_signal,EDIT-101,blindness due to Leber congenital amaurosis 10 (“LCA10”),BRILLIANCE,,EDIT|2021-09-29|safety_signal|brilliance,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
OMER_8-K_2021-10-18_0001558370-21-013245,OMER,2021-10-18,fda_complete_response_letter,HSCT-TMA,hematopoietic stem cell transplant-associated thrombotic microangiopathy,,,OMER|2021-10-18|fda_complete_response_letter|hsct tma,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
ZLAB_8-K_2021-11-05_0001193125-21-321607,ZLAB,2021-11-05,phase_3_readout,QINLOCK,gastrointestinal stromal tumor (GIST) previously treated with imatinib,,,ZLAB|2021-11-05|phase_3_readout|qinlock,1,1,sec_primary_filing,False,False,False,False,False,none,low,none
KURA_8-K_2021-11-24_0001193125-21-339334,KURA,2021-11-24,trial_halt,KO-539,relapsed or refractory acute myeloid leukemia (“AML”) on a partial clinical hold,,,KURA|2021-11-24|trial_halt|ko 539,1,1,sec_primary_filing,False,False,False,False,True,none,low,none
