event_id,ticker,dataset_split,biotech_catalyst_event_type,event_time_original,original_reaction_window_start,sec_acceptance_time,press_release_time,source_publication_time,selected_event_time,selected_event_time_source,release_session,first_tradable_timestamp,reaction_window_start,timestamp_confidence,timestamp_notes,original_reaction_window_before_first_tradable,timestamp_ambiguous,model_eligible,model_exclusion_reason,source_doc_count,source_types,source_url_count,source_hash_count
TMDX_8-K_2020-05-26_0001193125-20-150831,TMDX,fresh,safety_signal,2020-05-26 11:15:32,2020-05-26,2020-05-26T11:15:32+00:00,2020-05-26T11:15:32+00:00,2020-05-26T11:15:32+00:00,2020-05-26T11:15:32+00:00,sec_acceptance_time,before_open,2020-05-26T09:30:00-04:00,2020-05-26,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
ARVN_8-K_2020-05-29_0001193125-20-154927,ARVN,fresh,safety_signal,2020-05-29 11:06:02,2020-05-29,2020-05-29T11:06:02+00:00,2020-05-29T11:06:02+00:00,2020-05-29T11:06:02+00:00,2020-05-29T11:06:02+00:00,sec_acceptance_time,before_open,2020-05-29T09:30:00-04:00,2020-05-29,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,3,sec_exhibit;sec_primary_filing,3,3
MGNX_8-K_2020-05-29_0001125345-20-000103,MGNX,fresh,safety_signal,2020-05-29 12:33:04,2020-05-29,2020-05-29T12:33:04+00:00,2020-05-29T12:33:04+00:00,2020-05-29T12:33:04+00:00,2020-05-29T12:33:04+00:00,sec_acceptance_time,before_open,2020-05-29T09:30:00-04:00,2020-05-29,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,3,sec_exhibit;sec_primary_filing,3,3
SGMO_8-K_2020-06-18_0001193125-20-171977,SGMO,fresh,safety_signal,2020-06-18 13:26:43,2020-06-18,2020-06-18T13:26:43+00:00,2020-06-18T13:26:43+00:00,2020-06-18T13:26:43+00:00,2020-06-18T13:26:43+00:00,sec_acceptance_time,before_open,2020-06-18T09:30:00-04:00,2020-06-18,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,3,sec_exhibit;sec_primary_filing,3,3
ALKS_8-K_2020-11-17_0001564590-20-054254,ALKS,fresh,fda_complete_response_letter,2020-11-17 12:15:01,2020-11-17,2020-11-17T12:15:01+00:00,2020-11-17T12:15:01+00:00,2020-11-17T12:15:01+00:00,2020-11-17T12:15:01+00:00,sec_acceptance_time,before_open,2020-11-17T09:30:00-05:00,2020-11-17,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
RCKT_8-K_2021-05-10_0001140361-21-016639,RCKT,original,trial_halt,2021-05-10 20:42:14,2021-05-11,2021-05-10T20:42:14+00:00,2021-05-10T20:42:14+00:00,2021-05-10T20:42:14+00:00,2021-05-10T20:42:14+00:00,sec_acceptance_time,after_close,2021-05-11T09:30:00-04:00,2021-05-11,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
EDIT_8-K_2021-09-29_0001558370-21-012862,EDIT,original,safety_signal,2021-09-29 13:05:48,2021-09-29,2021-09-29T13:05:48+00:00,2021-09-29T13:05:48+00:00,2021-09-29T13:05:48+00:00,2021-09-29T13:05:48+00:00,sec_acceptance_time,before_open,2021-09-29T09:30:00-04:00,2021-09-29,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
OMER_8-K_2021-10-18_0001558370-21-013245,OMER,original,fda_complete_response_letter,2021-10-18 11:02:18,2021-10-18,2021-10-18T11:02:18+00:00,2021-10-18T11:02:18+00:00,2021-10-18T11:02:18+00:00,2021-10-18T11:02:18+00:00,sec_acceptance_time,before_open,2021-10-18T09:30:00-04:00,2021-10-18,high,press_release_time_not_separate_from_sec_exhibit_acceptance,False,False,True,,2,sec_exhibit;sec_primary_filing,2,2
ZLAB_8-K_2021-11-05_0001193125-21-321607,ZLAB,fresh,phase_3_readout,2021-11-05 20:14:59,2021-11-05,2021-11-05T20:14:59+00:00,,2021-11-05T20:14:59+00:00,2021-11-05T20:14:59+00:00,sec_acceptance_time,after_close,2021-11-08T09:30:00-05:00,2021-11-08,high,original_reaction_window_started_before_first_tradable,True,False,True,,1,sec_primary_filing,1,1
KURA_8-K_2021-11-24_0001193125-21-339334,KURA,original,trial_halt,2021-11-24 11:50:58,2021-11-24,2021-11-24T11:50:58+00:00,,2021-11-24T11:50:58+00:00,2021-11-24T11:50:58+00:00,sec_acceptance_time,before_open,2021-11-24T09:30:00-05:00,2021-11-24,high,none,False,False,True,,1,sec_primary_filing,1,1
