ticker,event_id_1,event_time_1,event_subtype_1,event_id_2,event_time_2,event_subtype_2,gap_days,amount_1,amount_2,price_1,price_2,amount_match_2pct,price_match_2pct,duplicate_risk
BEAM,BEAM_424B7_2021-04-01_0001193125-21-103221,2021-04-01T11:24:16,private_placement,BEAM_424B7_2021-04-01_0001193125-21-103240,2021-04-01T11:36:21,private_placement,0,260000100.0,,93.0,,False,False,same_ticker_close_window
BLNK,BLNK_424B5_2023-02-06_0001493152-23-003705,2023-02-06T21:26:59,completed_equity_offering,BLNK_8-K_2023-02-06_0001493152-23-003711,2023-02-06T21:35:41,completed_equity_offering,0,74999990.86,75000000.0,14.06,,True,False,same_ticker_close_window;same_amount
BLNK,BLNK_424B5_2023-02-06_0001493152-23-003705,2023-02-06T21:26:59,completed_equity_offering,BLNK_8-K_2023-02-07_0001493152-23-003879,2023-02-07T22:25:29,completed_equity_offering,1,74999990.86,100000000.0,14.06,12.0,False,False,same_ticker_close_window
BLNK,BLNK_424B5_2023-02-06_0001493152-23-003705,2023-02-06T21:26:59,completed_equity_offering,BLNK_424B5_2023-02-08_0001493152-23-003962,2023-02-08T21:59:07,completed_equity_offering,2,74999990.86,94622000.0,14.06,12.0,False,False,same_ticker_close_window
BLNK,BLNK_8-K_2023-02-06_0001493152-23-003711,2023-02-06T21:35:41,completed_equity_offering,BLNK_8-K_2023-02-07_0001493152-23-003879,2023-02-07T22:25:29,completed_equity_offering,1,75000000.0,100000000.0,,12.0,False,False,same_ticker_close_window
BLNK,BLNK_8-K_2023-02-06_0001493152-23-003711,2023-02-06T21:35:41,completed_equity_offering,BLNK_424B5_2023-02-08_0001493152-23-003962,2023-02-08T21:59:07,completed_equity_offering,2,75000000.0,94622000.0,,12.0,False,False,same_ticker_close_window
BLNK,BLNK_8-K_2023-02-07_0001493152-23-003879,2023-02-07T22:25:29,completed_equity_offering,BLNK_424B5_2023-02-08_0001493152-23-003962,2023-02-08T21:59:07,completed_equity_offering,0,100000000.0,94622000.0,12.0,12.0,False,True,same_ticker_close_window;same_price
BLNK,BLNK_S-1_2025-12-04_0001493152-25-026199,2025-12-04T21:50:44,completed_equity_offering,BLNK_424B4_2025-12-11_0001493152-25-027305,2025-12-11T22:28:23,completed_equity_offering,7,18400000.0,18400000.0,1.35,0.75,True,False,same_ticker_close_window;same_amount
BLNK,BLNK_424B4_2025-12-11_0001493152-25-027305,2025-12-11T22:28:23,completed_equity_offering,BLNK_8-K_2025-12-12_0001493152-25-027377,2025-12-12T14:00:20,completed_equity_offering,0,18400000.0,20000000.0,0.75,0.75,False,True,same_ticker_close_window;same_price
CHPT,CHPT_424B3_2021-12-02_0001193125-21-346749,2021-12-02T21:40:16,private_placement,CHPT_424B3_2021-12-02_0001193125-21-346752,2021-12-02T21:42:15,private_placement,0,,,,,False,False,same_ticker_close_window
CHPT,CHPT_424B3_2021-12-15_0001628280-21-025085,2021-12-15T11:19:54,private_placement,CHPT_424B3_2021-12-15_0001628280-21-025086,2021-12-15T11:22:00,private_placement,0,225000000.0,225000000.0,10.0,10.0,True,True,same_ticker_close_window;same_amount;same_price
FATE,FATE_424B5_2020-06-08_0001193125-20-163472,2020-06-08T20:11:29,private_placement,FATE_424B5_2020-06-10_0001193125-20-164911,2020-06-10T01:18:05,private_placement,1,460000000.0,460000000.0,11.48,28.31,True,False,same_ticker_close_window;same_amount
FATE,FATE_424B5_2020-06-08_0001193125-20-163472,2020-06-08T20:11:29,private_placement,FATE_8-K_2020-06-10_0001193125-20-164916,2020-06-10T01:21:17,completed_equity_offering,1,460000000.0,50000000.0,11.48,28.31,False,False,same_ticker_close_window
FATE,FATE_424B5_2020-06-10_0001193125-20-164911,2020-06-10T01:18:05,private_placement,FATE_8-K_2020-06-10_0001193125-20-164916,2020-06-10T01:21:17,completed_equity_offering,0,460000000.0,50000000.0,28.31,28.31,False,True,same_ticker_close_window;same_price
FATE,FATE_424B5_2021-01-07_0001193125-21-004330,2021-01-07T22:25:25,completed_equity_offering,FATE_8-K_2021-01-08_0001193125-21-005180,2021-01-08T21:02:00,completed_equity_offering,0,52500000.0,52500000.0,85.5,85.5,True,True,same_ticker_close_window;same_amount;same_price
IONQ,IONQ_424B5_2025-10-10_0001193125-25-236448,2025-10-10T12:35:09,completed_equity_offering,IONQ_424B5_2025-10-10_0001193125-25-236452,2025-10-10T12:42:30,completed_equity_offering,0,1978500000.0,1978500000.0,93.0,93.0,True,True,same_ticker_close_window;same_amount;same_price
LCID,LCID_424B5_2023-06-01_0001104659-23-066722,2023-05-31T22:46:57,private_placement,LCID_424B2_2023-06-02_0001104659-23-067653,2023-06-02T21:21:24,private_placement,1,915000000.0,915000000.0,15.0,15.0,True,True,same_ticker_close_window;same_amount;same_price
LUNR,LUNR_8-K_2024-12-03_0001193125-24-270035,2024-12-03T22:19:32,private_placement,LUNR_8-K_2024-12-05_0001193125-24-271557,2024-12-05T21:24:59,completed_equity_offering,1,8872500.0,116870000.0,,10.5,False,False,same_ticker_close_window
PACB,PACB_8-K_2023-01-24_0001104659-23-006228,2023-01-24T21:43:48,completed_equity_offering,PACB_8-K_2023-01-27_0001104659-23-007513,2023-01-27T21:05:29,completed_equity_offering,2,300000000.0,175000000.0,,10.0,False,False,same_ticker_close_window
SOFI,SOFI_8-K_2025-12-05_0001818874-25-000225,2025-12-05T02:38:13,completed_equity_offering,SOFI_8-K_2025-12-08_0001818874-25-000232,2025-12-08T21:02:43,completed_equity_offering,3,1500000000.0,1499999985.0,27.5,27.5,True,True,same_ticker_close_window;same_amount;same_price
