event_id,ticker,event_time,release_session_recorded,inferred_session_from_acceptance,reaction_start,reaction_same_calendar_date,timestamp_risk,source_type,source_url
ARCT_8-K_2020-04-21_0001564590-20-017549,ARCT,2020-04-21 10:03:05,unknown,intraday,2020-04-21,True,release_session_unknown;intraday_daily_close_window,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1768224/000156459020017549/arct-8k_20200417.htm
FATE_424B5_2020-06-08_0001193125-20-163472,FATE,2020-06-08 20:11:29,unknown,after_close,2020-06-08,True,release_session_unknown;after_close_measured_same_day,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1434316/000119312520163472/d859453d424b5.htm
FATE_424B5_2020-06-10_0001193125-20-164911,FATE,2020-06-10 01:18:05,unknown,before_open,2020-06-10,True,release_session_unknown,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1434316/000119312520164911/d859453d424b5.htm
FATE_8-K_2020-06-10_0001193125-20-164916,FATE,2020-06-10 01:21:17,unknown,before_open,2020-06-10,True,release_session_unknown,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1434316/000119312520164916/d941680d8k.htm
FCEL_424B5_2020-06-16_0001104659-20-073835,FCEL,2020-06-16 21:21:18,unknown,after_close,2020-06-16,True,release_session_unknown;after_close_measured_same_day,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/886128/000110465920073835/tm2022598-1_424b5.htm
ARCT_8-K_2020-07-29_0001193805-20-000902,ARCT,2020-07-29 10:02:20,unknown,intraday,2020-07-29,True,release_session_unknown;intraday_daily_close_window,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1768224/000119380520000902/e619811_8k-at.htm
FCEL_424B5_2020-12-03_0001104659-20-132026,FCEL,2020-12-03 21:39:54,unknown,after_close,2020-12-03,True,release_session_unknown;after_close_measured_same_day,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/886128/000110465920132026/tm2037248-4_424b5.htm
ARCT_8-K_2020-12-08_0001193805-20-001508,ARCT,2020-12-08 14:01:14,unknown,intraday,2020-12-08,True,release_session_unknown;intraday_daily_close_window,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1768224/000119380520001508/e620125_8k-at.htm
FATE_424B5_2021-01-07_0001193125-21-004330,FATE,2021-01-07 22:25:25,unknown,after_close,2021-01-07,True,release_session_unknown;after_close_measured_same_day,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1434316/000119312521004330/d82270d424b5.htm
FATE_8-K_2021-01-08_0001193125-21-005180,FATE,2021-01-08 21:02:00,unknown,after_close,2021-01-08,True,release_session_unknown;after_close_measured_same_day,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1434316/000119312521005180/d95890d8k.htm
BLNK_424B5_2021-01-08_0001493152-21-000610,BLNK,2021-01-08 21:41:11,unknown,after_close,2021-01-08,True,release_session_unknown;after_close_measured_same_day,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1429764/000149315221000610/form424b5.htm
MVST_8-K_2021-02-05_0001213900-21-007125,MVST,2021-02-05 21:54:18,unknown,after_close,2021-02-05,True,release_session_unknown;after_close_measured_same_day,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1760689/000121390021007125/ea134382-8k_tuscanhold.htm
BEAM_424B7_2021-04-01_0001193125-21-103221,BEAM,2021-04-01 11:24:16,unknown,intraday,2021-04-01,True,release_session_unknown;intraday_daily_close_window,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1745999/000119312521103221/d163930d424b7.htm
BEAM_424B7_2021-04-01_0001193125-21-103240,BEAM,2021-04-01 11:36:21,unknown,intraday,2021-04-01,True,release_session_unknown;intraday_daily_close_window,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1745999/000119312521103240/d138598d424b7.htm
