group_name,group_value,horizon,n,positive_rate,negative_rate,mean_car_market_model,median_car_market_model,std_car_market_model,stderr_car_market_model,mean_simple_market_model,median_simple_market_model,mean_abs_car_market_model
actual_funded_award_flag,true,1,186,0.5161290322580645,0.4838709677419355,0.001353100440460326,0.0004814205447409455,0.03374213227834565,0.0024740931766441365,0.0019561422141647464,0.0004815364462098515,0.01670970444184472
agency,department of defense,1,184,0.5108695652173914,0.4891304347826087,-0.0005196319829472543,0.0004709614987990547,0.02358580626892346,0.0017387687068902554,-0.0002419384905093054,0.00047107247329969404,0.015003891627147839
agency,national aeronautics and space administration,1,2,1.0,0.0,0.17364448339395774,0.17364448339395774,0.2209372220410494,0.15622620792174396,0.2041795670441775,0.2041795670441775,0.17364448339395774
all,all,1,186,0.5161290322580645,0.4838709677419355,0.001353100440460326,0.0004814205447409455,0.03374213227834565,0.0024740931766441365,0.0019561422141647464,0.0004815364462098515,0.01670970444184472
award_materiality_bucket,lt_0_5pct,1,98,0.46938775510204084,0.5306122448979592,-0.0038998015027830765,-0.0008748709687315538,0.018930808318116384,0.0019123004192975422,-0.0037170938495882547,-0.0008744729442249355,0.012368191837983973
award_materiality_bucket,1pct_to_2pct,1,31,0.5483870967741935,0.45161290322580644,0.0003817006393703476,0.0014406560472224016,0.020826681719668505,0.0037405824604765736,0.0005888344687602783,0.0014416942906696484,0.013020800629229938
award_materiality_bucket,0_5pct_to_1pct,1,27,0.5555555555555556,0.4444444444444444,0.004984212614435656,0.002252498680672504,0.015429121866208494,0.002969335887605005,0.0051120357465517,0.002255037461668108,0.012949698949409935
award_materiality_bucket,2pct_to_5pct,1,16,0.5,0.5,0.015787307420986964,-0.0005331777412446413,0.09025433611733918,0.022563584029334796,0.020134081702004036,-0.0005325421902062644,0.04543319555739872
award_materiality_bucket,gte_5pct,1,14,0.7142857142857143,0.2857142857142857,0.016775275003737666,0.010953904895194736,0.04360971386238815,0.011655186286307326,0.017835250583840192,0.011035242815379931,0.029693171857293754
ceiling_only_flag,false,1,186,0.5161290322580645,0.4838709677419355,0.001353100440460326,0.0004814205447409455,0.03374213227834565,0.0024740931766441365,0.0019561422141647464,0.0004815364462098515,0.01670970444184472
company_size_bucket,large_cap,1,148,0.5,0.5,-0.0017465159403568752,6.808310609102727e-05,0.018632881751285975,0.0015316134452459432,-0.0015743102111851167,6.809045597938601e-05,0.0123539980044528
company_size_bucket,mid_cap,1,32,0.5625,0.4375,0.0011655058628090229,0.0019540931996527957,0.030643512263616886,0.005417058830244157,0.0016194288339936823,0.0019560036839880723,0.023009166285392853
company_size_bucket,small_cap,1,6,0.6666666666666666,0.3333333333333333,0.07881080891475825,0.01870291937085655,0.1364267073201286,0.05569597003705629,0.09083644006704038,0.01887975519559737,0.09055333339858866
government_contract_event_type,new_contract_award,1,117,0.5299145299145299,0.4700854700854701,0.003526576661872263,0.0006645556608175008,0.03852487471358864,0.003561625927196664,0.004326923380711853,0.0006647765268539274,0.01716624900977913
government_contract_event_type,task_order_award,1,54,0.48148148148148145,0.5185185185185185,-0.002022923109204414,-9.449068219818902e-05,0.021944480949414532,0.0029862656109050974,-0.0017857448390786281,-9.448428037833745e-05,0.015111871668853003
government_contract_event_type,contract_modification,1,10,0.6,0.4,-0.00092010721177763,0.004216912363245303,0.029684452445879625,0.009387048082393573,-0.0005293545235194208,0.004227962320120238,0.017450854049898303
government_contract_event_type,sbir_award,1,2,0.5,0.5,-0.019594879418837228,-0.019594879418837228,0.04781835252909592,0.03381268133849262,-0.018843537827138157,-0.018843537827138157,0.03381268133849262
government_contract_event_type,contract_extension,1,1,1.0,0.0,0.01903740504199202,0.01903740504199202,,,0.019219771862768464,0.019219771862768464,0.01903740504199202
government_contract_event_type,subcontract_award,1,1,0.0,1.0,-0.010342811595308542,-0.010342811595308542,,,-0.010289508645197398,-0.010289508645197398,0.010342811595308542
government_contract_event_type,option_exercise,1,1,0.0,1.0,-0.011998702107628477,-0.011998702107628477,,,-0.011927004726498658,-0.011927004726498658,0.011998702107628477
large_prime_flag,true,1,158,0.5189873417721519,0.4810126582278481,-0.0004912125132768755,0.0004814205447409455,0.01859835817666992,0.0014796059321159005,-0.00032047060698325364,0.0004815364462098515,0.012592561087700802
large_prime_flag,false,1,28,0.5,0.5,0.011760294965120254,0.0002989429161090293,0.07521625298553318,0.01421453571070288,0.014802743133499888,0.0003003577750804731,0.03994215622594254
large_prime_low_materiality_flag,true,1,114,0.4824561403508772,0.5175438596491229,-0.0016664318699664785,-0.0004279168251635347,0.017603485893512155,0.0016487175122241982,-0.0015128996021449288,-0.0004277885308983653,0.011819929822239218
large_prime_low_materiality_flag,false,1,72,0.5694444444444444,0.4305555555555556,0.006134026598636102,0.0016973746234375986,0.04935163467002097,0.0058161459229688255,0.007448791756655065,0.0016988489873288604,0.024451847589553433
modification_flag,false,1,176,0.5113636363636364,0.48863636363636365,0.0014822599661556647,0.0004709614987990547,0.034028829334627066,0.0025650195217726632,0.002097363619714983,0.00047107247329969404,0.016667593668659855
modification_flag,true,1,10,0.6,0.4,-0.00092010721177763,0.004216912363245303,0.029684452445879625,0.009387048082393573,-0.0005293545235194208,0.004227962320120238,0.017450854049898303
new_work_flag,true,1,173,0.5144508670520231,0.48554913294797686,0.0015270627901985089,0.0004814205447409455,0.03427090394958314,0.0026055685782054405,0.0021510562923628012,0.0004815364462098515,0.016717442583463617
new_work_flag,false,1,13,0.5384615384615384,0.46153846153846156,-0.000961936982978561,0.0021494314621342894,0.02667755396199754,0.007399022208764587,-0.0006377143649324462,0.002151743145911489,0.01660672763414708
obligated_materiality_bucket,lt_0_5pct,1,98,0.46938775510204084,0.5306122448979592,-0.0038998015027830765,-0.0008748709687315538,0.018930808318116384,0.0019123004192975422,-0.0037170938495882547,-0.0008744729442249355,0.012368191837983973
obligated_materiality_bucket,1pct_to_2pct,1,31,0.5483870967741935,0.45161290322580644,0.0003817006393703476,0.0014406560472224016,0.020826681719668505,0.0037405824604765736,0.0005888344687602783,0.0014416942906696484,0.013020800629229938
obligated_materiality_bucket,0_5pct_to_1pct,1,27,0.5555555555555556,0.4444444444444444,0.004984212614435656,0.002252498680672504,0.015429121866208494,0.002969335887605005,0.0051120357465517,0.002255037461668108,0.012949698949409935
obligated_materiality_bucket,2pct_to_5pct,1,16,0.5,0.5,0.015787307420986964,-0.0005331777412446413,0.09025433611733918,0.022563584029334796,0.020134081702004036,-0.0005325421902062644,0.04543319555739872
obligated_materiality_bucket,gte_5pct,1,14,0.7142857142857143,0.2857142857142857,0.016775275003737666,0.010953904895194736,0.04360971386238815,0.011655186286307326,0.017835250583840192,0.011035242815379931,0.029693171857293754
option_exercise_flag,false,1,185,0.518918918918919,0.4810810810810811,0.0014252723461256707,0.0004814205447409455,0.033819300149697244,0.0024864443979036714,0.002031186251681846,0.0004815364462098515,0.01673516931932697
option_exercise_flag,true,1,1,0.0,1.0,-0.011998702107628477,-0.011998702107628477,,,-0.011927004726498658,-0.011927004726498658,0.011998702107628477
small_mid_cap_flag,false,1,148,0.5,0.5,-0.0017465159403568752,6.808310609102727e-05,0.018632881751285975,0.0015316134452459432,-0.0015743102111851167,6.809045597938601e-05,0.0123539980044528
small_mid_cap_flag,true,1,38,0.5789473684210527,0.42105263157894735,0.013425290555222057,0.0020517623308935425,0.06422769311783465,0.010419107653525633,0.015706325344474737,0.0020538734149497806,0.033674034776950086
actual_funded_award_flag,true,3,185,0.4918918918918919,0.5081081081081081,0.0005563696551720495,-0.0008381962770742969,0.05181415865706873,0.0038094527076165383,0.0020220110420203666,-0.0008378450887033262,0.028490727628463833
agency,department of defense,3,183,0.48633879781420764,0.5136612021857924,-0.0028620188105149607,-0.0009546787722940504,0.03477847221100118,0.0025708986429674586,-0.0022627183841355926,-0.000954223211497851,0.02537763269253957
agency,national aeronautics and space administration,3,2,1.0,0.0,0.3133389142655335,0.3133389142655335,0.27576287353600437,0.19499379787679702,0.39407475353529064,0.39407475353529064,0.3133389142655335
all,all,3,185,0.4918918918918919,0.5081081081081081,0.0005563696551720495,-0.0008381962770742969,0.05181415865706873,0.0038094527076165383,0.0020220110420203666,-0.0008378450887033262,0.028490727628463833
award_materiality_bucket,lt_0_5pct,3,98,0.45918367346938777,0.5408163265306123,-0.0062347134818302756,-0.003267297831903338,0.034948051159330785,0.0035302862805738832,-0.005622324951119358,-0.003261963510632071,0.025319278011837077
award_materiality_bucket,1pct_to_2pct,3,31,0.5161290322580645,0.4838709677419355,-0.0029205669655139985,0.0006245009200274518,0.037555573470864356,0.006745180116023328,-0.00224064428257357,0.0006246959613260827,0.026772402367106565
award_materiality_bucket,0_5pct_to_1pct,3,27,0.5185185185185185,0.48148148148148145,0.006071205266265612,0.0025617151489610206,0.025369446204599685,0.004882352198472452,0.006399863726722554,0.0025649991448351006,0.019834519957969424
award_materiality_bucket,2pct_to_5pct,3,16,0.4375,0.5625,0.02294445473599799,-0.00523132888696807,0.13266286421991125,0.03316571605497781,0.0330153746480979,-0.005217338532168048,0.056271142995454354
award_materiality_bucket,gte_5pct,3,13,0.6923076923076923,0.3076923076923077,0.021033389645537765,0.02164051437591852,0.052669862801853394,0.014607991615671988,0.022575195827090017,0.021876368569938354,0.04028312045638675
ceiling_only_flag,false,3,185,0.4918918918918919,0.5081081081081081,0.0005563696551720495,-0.0008381962770742969,0.05181415865706873,0.0038094527076165383,0.0020220110420203666,-0.0008378450887033262,0.028490727628463833
company_size_bucket,large_cap,3,148,0.49324324324324326,0.5067567567567568,-0.0010766540951381417,-0.0005336878635421071,0.030493546632306075,0.002506554092849904,-0.0006173662760389446,-0.000533499139554583,0.023324074346570304
company_size_bucket,mid_cap,3,31,0.45161290322580644,0.5483870967741935,-0.011867851183273681,-0.0044158309924856795,0.04232858974032783,0.007602439144679026,-0.010957646009147547,-0.004406095546108935,0.028638114125821967
company_size_bucket,small_cap,3,6,0.6666666666666666,0.3333333333333333,0.10502942982812637,0.07689563454555136,0.21581395616789753,0.08810567866378724,0.13418821298518427,0.0808571874941807,0.15517334501215388
government_contract_event_type,new_contract_award,3,117,0.4700854700854701,0.5299145299145299,0.0011335288904296334,-0.0018452324284897285,0.05778758297769658,0.005342463936185,0.00299908192666202,-0.0018435310337826527,0.028438930298544263
government_contract_event_type,task_order_award,3,54,0.5370370370370371,0.46296296296296297,-0.00031826864259790547,0.0019250993698571302,0.03790171300110668,0.005157769846117924,0.0003852696781782613,0.0019271565936030965,0.02832094874203875
government_contract_event_type,contract_modification,3,9,0.4444444444444444,0.5555555555555556,0.0068774965324428046,-0.003196299498637191,0.03330033493479119,0.011100111644930397,0.007402750105406734,-0.003191196771457294,0.019981239578650712
government_contract_event_type,sbir_award,3,2,0.5,0.5,-0.04742995167858838,-0.04742995167858838,0.12416813062225593,0.08780012717025416,-0.04264448029346529,-0.04264448029346529,0.08780012717025418
government_contract_event_type,contract_extension,3,1,1.0,0.0,0.022821227279492196,0.022821227279492196,,,0.023083623754801996,0.023083623754801996,0.022821227279492196
government_contract_event_type,option_exercise,3,1,1.0,0.0,0.01673955822536431,0.01673955822536431,,,0.016880449685879206,0.016880449685879206,0.01673955822536431
government_contract_event_type,subcontract_award,3,1,0.0,1.0,-0.019106338212816022,-0.019106338212816022,,,-0.01892496906972585,-0.01892496906972585,0.019106338212816022
large_prime_flag,true,3,158,0.47468354430379744,0.5253164556962026,-0.0014768077906927072,-0.0017241379913261311,0.02954312586580907,0.0023503248979864825,-0.0010450381048350938,-0.0017226451999608483,0.022471057192302454
large_prime_flag,false,3,27,0.5925925925925926,0.4074074074074074,0.012454222856899145,0.0025617151489610206,0.11643450541392032,0.02240783101456261,0.019969928271767134,0.0025649991448351006,0.06371694721785263
large_prime_low_materiality_flag,true,3,114,0.4649122807017544,0.5350877192982456,-0.00204976438360082,-0.002089433913014524,0.029173678120436183,0.0027323652999251833,-0.0016300495984357365,-0.002087222810554401,0.02185210127742757
large_prime_low_materiality_flag,false,3,71,0.5352112676056338,0.4647887323943662,0.0047408665624975015,0.0025617151489610206,0.07519440598108738,0.008923934181713668,0.007885883056273827,0.0025649991448351006,0.039149930501958655
modification_flag,false,3,176,0.4943181818181818,0.5056818181818182,0.0002331302125843396,-0.0005336878635421071,0.0526300727435584,0.0039671409995339505,0.0017468596126426546,-0.000533499139554583,0.028925871903738368
modification_flag,true,3,9,0.4444444444444444,0.5555555555555556,0.0068774965324428046,-0.003196299498637191,0.03330033493479119,0.011100111644930397,0.007402750105406734,-0.003191196771457294,0.019981239578650712
new_work_flag,true,3,173,0.4913294797687861,0.5086705202312138,0.00011893913365782243,-0.0008381962770742969,0.05302357101396685,0.004031307453736344,0.001655538655804346,-0.0008378450887033262,0.029088360296764627
new_work_flag,false,3,12,0.5,0.5,0.006862659673668811,0.002129197889805419,0.029996845730546066,0.008659343478685225,0.007305321276634663,0.0021456769612470117,0.01987485666046075
obligated_materiality_bucket,lt_0_5pct,3,98,0.45918367346938777,0.5408163265306123,-0.0062347134818302756,-0.003267297831903338,0.034948051159330785,0.0035302862805738832,-0.005622324951119358,-0.003261963510632071,0.025319278011837077
obligated_materiality_bucket,1pct_to_2pct,3,31,0.5161290322580645,0.4838709677419355,-0.0029205669655139985,0.0006245009200274518,0.037555573470864356,0.006745180116023328,-0.00224064428257357,0.0006246959613260827,0.026772402367106565
obligated_materiality_bucket,0_5pct_to_1pct,3,27,0.5185185185185185,0.48148148148148145,0.006071205266265612,0.0025617151489610206,0.025369446204599685,0.004882352198472452,0.006399863726722554,0.0025649991448351006,0.019834519957969424
obligated_materiality_bucket,2pct_to_5pct,3,16,0.4375,0.5625,0.02294445473599799,-0.00523132888696807,0.13266286421991125,0.03316571605497781,0.0330153746480979,-0.005217338532168048,0.056271142995454354
obligated_materiality_bucket,gte_5pct,3,13,0.6923076923076923,0.3076923076923077,0.021033389645537765,0.02164051437591852,0.052669862801853394,0.014607991615671988,0.022575195827090017,0.021876368569938354,0.04028312045638675
option_exercise_flag,false,3,184,0.4891304347826087,0.5108695652173914,0.0004684175433775261,-0.0008964375246841736,0.05194168524700109,0.0038291918393999007,0.0019412586580863512,-0.0008960341501005886,0.028554592679567635
option_exercise_flag,true,3,1,1.0,0.0,0.01673955822536431,0.01673955822536431,,,0.016880449685879206,0.016880449685879206,0.01673955822536431
small_mid_cap_flag,false,3,148,0.49324324324324326,0.5067567567567568,-0.0010766540951381417,-0.0005336878635421071,0.030493546632306075,0.002506554092849904,-0.0006173662760389446,-0.000533499139554583,0.023324074346570304
small_mid_cap_flag,true,3,37,0.4864864864864865,0.5135135135135135,0.007088464656412817,-0.0037262712832959247,0.09934840473409991,0.01633277712868879,0.012579520314257612,-0.003719337349703866,0.04915734075603795
actual_funded_award_flag,true,10,182,0.47802197802197804,0.521978021978022,-0.00021067690558076055,-0.003240049817834726,0.07304160283529466,0.005414203818949372,0.0024660795441963073,-0.0032347993898491634,0.05035020723611114
agency,department of defense,10,180,0.4722222222222222,0.5277777777777778,-0.0033812143508166613,-0.003771499291318923,0.06678818453116059,0.0049780973568491664,-0.001181937101983108,-0.0037643116367089835,0.04774145739244958
agency,national aeronautics and space administration,10,2,1.0,0.0,0.2851376931656504,0.2851376931656504,0.05033373291448826,0.03559132386626718,0.3307875777003436,0.3307875777003436,0.2851376931656504
all,all,10,182,0.47802197802197804,0.521978021978022,-0.00021067690558076055,-0.003240049817834726,0.07304160283529466,0.005414203818949372,0.0024660795441963073,-0.0032347993898491634,0.05035020723611114
award_materiality_bucket,lt_0_5pct,10,95,0.45263157894736844,0.5473684210526316,-0.004488677474464139,-0.0052438061018324844,0.06086424986758718,0.006244540278004616,-0.002684056321289696,-0.005230081351072502,0.04242927324310879
award_materiality_bucket,1pct_to_2pct,10,31,0.4838709677419355,0.5161290322580645,-0.012902723567874008,-0.0012629754795671425,0.07158815538819167,0.01285761227003586,-0.010431230749554177,-0.001262178261693725,0.051242004262317765
award_materiality_bucket,0_5pct_to_1pct,10,27,0.5925925925925926,0.4074074074074074,0.006618727218440264,0.006717249127727577,0.05730327369447774,0.011028020164317842,0.008221553077251212,0.00673986044591568,0.04369085838217281
award_materiality_bucket,2pct_to_5pct,10,16,0.25,0.75,-0.012225171492235386,-0.03900660594310025,0.12341495390794716,0.03085373847698679,-0.004607331459068276,-0.038252068692819496,0.08708107069300325
award_materiality_bucket,gte_5pct,10,13,0.6923076923076923,0.3076923076923077,0.06192020791079758,0.034551548196635,0.08629182668356193,0.023933046597002634,0.06760887315859523,0.03515538739427915,0.07473110148756337
ceiling_only_flag,false,10,182,0.47802197802197804,0.521978021978022,-0.00021067690558076055,-0.003240049817834726,0.07304160283529466,0.005414203818949372,0.0024660795441963073,-0.0032347993898491634,0.05035020723611114
company_size_bucket,large_cap,10,145,0.46206896551724136,0.5379310344827586,-0.00393226341411659,-0.0052438061018324844,0.05936027226187241,0.004929602294235845,-0.0021989657942189746,-0.005230081351072502,0.043064141666787875
company_size_bucket,mid_cap,10,31,0.4838709677419355,0.5161290322580645,-0.009257809245646717,-0.0005983384153897776,0.0895587830635943,0.01608523228128727,-0.005395049439439835,-0.0005981594466565321,0.06311258321770112
company_size_bucket,small_cap,10,6,0.8333333333333334,0.16666666666666666,0.1364711808077093,0.14117755919516856,0.14211528714605337,0.0580183230261573,0.15582050830468566,0.15193752167632424,0.16049118258987513
