bin,n,mean_probability,observed_rate,abs_error
"(-0.001, 0.1]",9,0.06250421633872652,0.5555555555555556,0.4930513392168291
"(0.1, 0.2]",10,0.14653164274068042,0.4,0.2534683572593196
"(0.2, 0.3]",15,0.24828590745802656,0.6666666666666666,0.41838075920864004
"(0.3, 0.4]",14,0.33298600787114135,0.35714285714285715,0.024156849271715797
"(0.4, 0.5]",23,0.43655198630745284,0.4782608695652174,0.04170888325776456
"(0.5, 0.6]",20,0.5483753615822539,0.5,0.04837536158225386
"(0.6, 0.7]",14,0.650507697490276,0.5,0.15050769749027604
"(0.7, 0.8]",18,0.7447693325821747,0.5,0.2447693325821747
"(0.8, 0.9]",10,0.8363964574555446,0.7,0.13639645745554463
"(0.9, 1.0]",8,0.931534418710774,0.375,0.556534418710774
