iteration,n_trades,mean_net_event_return,cumulative_net_return,hit_rate
0,50,-0.00582544400188684,-0.26082506892523394,0.36
1,50,-0.0006279043285954278,-0.03762607342263369,0.5
2,50,-0.002069551098702156,-0.10863342456180514,0.48
3,50,-0.0037688418972858196,-0.17845324044766853,0.38
4,50,-0.004173057421348976,-0.2023761718703062,0.54
5,50,-0.0039844523019363694,-0.1938476078464213,0.46
6,50,-0.003432644271061067,-0.1686987862635183,0.46
7,50,-0.01015625931366122,-0.4099040896844425,0.32
8,50,-0.007806645117117001,-0.3368284281253573,0.44
9,50,-0.0022074826404565573,-0.11233304834835112,0.48
10,50,-6.466739585189139e-06,-0.011043368577144608,0.48
11,50,-0.0028477247488105806,-0.14524800496361845,0.48
12,50,-0.0035597668736143716,-0.17102916220526965,0.44
13,50,-0.004971582011711737,-0.22824728845762088,0.46
14,50,-0.0018686852251854201,-0.09918179858229537,0.48
15,50,-0.0019812512802603165,-0.10468218678057228,0.46
16,50,-0.0036320257741162677,-0.17340471506847044,0.42
17,50,-0.0056595813902111216,-0.25244327803861133,0.34
18,50,-0.001379058926821939,-0.07735102621971401,0.42
19,50,-0.0007803393343267562,-0.04929360047493303,0.56
20,50,-0.00239990495113704,-0.11869340639428261,0.46
21,50,-0.005211043585096624,-0.2407506565587646,0.4
22,50,-0.0038199542301147883,-0.18430492572222867,0.44
23,50,-0.00026145868982468067,-0.021600708976470484,0.5
24,50,-0.0016768461537767032,-0.09360075605691831,0.42
25,50,-0.002658005266056662,-0.13805831044610806,0.42
26,50,-0.005366425584003507,-0.24916426406646275,0.44
27,50,-0.004656822249967119,-0.21347419789527267,0.4
28,50,-0.003365149626334316,-0.17062006391480244,0.44
29,50,-0.0015139850446745351,-0.08719828941857743,0.52
30,50,0.0013015998430156506,0.05382362262300533,0.48
31,50,-0.004847521915644224,-0.22508293421379522,0.4
32,50,-0.004291595536890296,-0.2075429947271118,0.5
33,50,-0.0007279236100879016,-0.050242593539374214,0.5
34,50,0.0036774201102541103,0.18792930186508716,0.62
35,50,0.0008848517477260565,0.03453617317018831,0.56
36,50,0.0027190593802837704,0.1299118908024619,0.68
37,50,-0.0017575261672569775,-0.0936419528182747,0.48
38,50,0.002197110890169722,0.10405909352077125,0.56
39,50,-0.0029914985475681167,-0.14944953751682932,0.44
