threshold,horizon,original_rows,trimmed_rows,removed_top3_abs_return_event_ids,trimmed_mean_simple,trimmed_median_simple,trimmed_positive_rate
0.005,1,18,15,government_contract_LUNR_80GSFC24CA018;government_contract_KTOS_N0001923C0021;government_contract_KTOS_FA240125C0004,0.0022179835132803472,0.001956003683988,0.5333333333333333
0.005,3,18,15,government_contract_LUNR_80GSFC24CA018;government_contract_KTOS_N0001923C0021;government_contract_LUNR_80JSC024F0079,-0.012340850677385074,0.00159484755308055,0.5714285714285714
0.005,10,18,15,government_contract_LUNR_80GSFC24CA018;government_contract_LUNR_80JSC024F0079;government_contract_KTOS_N0001923C0021,0.012334101177788498,0.0200295105286144,0.5714285714285714
0.01,1,16,13,government_contract_LUNR_80GSFC24CA018;government_contract_KTOS_N0001923C0021;government_contract_KTOS_FA240125C0004,0.0008557766829758243,-0.001525692880802,0.46153846153846156
0.01,3,16,13,government_contract_LUNR_80GSFC24CA018;government_contract_KTOS_N0001923C0021;government_contract_LUNR_80JSC024F0079,-0.01761823042050771,-0.0067710411944199005,0.5
0.01,10,16,13,government_contract_LUNR_80GSFC24CA018;government_contract_LUNR_80JSC024F0079;government_contract_KTOS_N0001923C0021,0.007435133891776291,0.00819396340788855,0.5
0.02,1,11,8,government_contract_LUNR_80GSFC24CA018;government_contract_KTOS_N0001923C0021;government_contract_AVAV_W91CRB25F0094,-0.007328165709294251,-0.0122632349301805,0.375
0.02,3,11,8,government_contract_LUNR_80GSFC24CA018;government_contract_KTOS_N0001923C0021;government_contract_LUNR_80JSC024F0079,-0.009179160416534516,0.0088486207669566,0.5714285714285714
0.02,10,11,8,government_contract_LUNR_80GSFC24CA018;government_contract_LUNR_80JSC024F0079;government_contract_KTOS_N0001923C0021,0.013247691596449427,0.0176501050774708,0.5714285714285714
0.05,1,6,3,government_contract_KTOS_N0001923C0021;government_contract_SAIC_N0002422C6419;government_contract_RDW_FA945324CX039,0.006384302794056666,0.0175708582546632,0.6666666666666666
0.05,3,6,3,government_contract_KTOS_N0001923C0021;government_contract_LUNR_80JSC024F0079;government_contract_RDW_FA945324CX039,0.0279558141514726,0.0279558141514726,1.0
0.05,10,6,3,government_contract_LUNR_80JSC024F0079;government_contract_KTOS_N0001923C0021;government_contract_SAIC_W31P4Q21F0095,0.1083508555569595,0.1083508555569595,1.0
