row_number,event_id,ticker,reaction_start,event_time,event_type,event_subtype,event_family,y_true,actual_positive,predicted_positive_probability,predicted_positive,baseline_positive_probability,model_status,purge_days,train_rows_after_purge,car_market_model_h1,car_market_model_simple_h1,raw_return_h1,position,gross_event_return,trade_cost,net_event_return
45,government_contract_NOC_N0001921F0064,NOC,2024-11-04,2024-11-01 21:00:09,task_order_award,task_order_award,government_contract_awards,0,0,0.6809773912357348,1.0,0.5555555555555556,ok,10,45,-0.0001567465904419,-0.0001567343063368,0.0009664600002849,1,-0.000156734306336892,0.001,-0.001156734306336892
46,government_contract_KTOS_FA240125C0004,KTOS,2024-11-14,2024-11-13 22:02:00,new_contract_award,new_contract_award,government_contract_awards,0,0,0.7323576576976477,1.0,0.5555555555555556,ok,10,45,-0.0861669140940265,-0.0825589154081162,-0.0883519255692435,1,-0.08255891540811611,0.001,-0.08355891540811611
56,government_contract_BA_FA863425CB002,BA,2025-01-07,2025-01-06 22:00:16,new_contract_award,new_contract_award,government_contract_awards,1,1,0.704071700087726,1.0,0.5357142857142857,ok,10,56,0.0207378972263397,0.0209544215800936,0.0101299668573882,1,0.02095442158009364,0.001,0.01995442158009364
61,government_contract_BAH_HQ003421F0077,BAH,2025-02-20,2025-02-19 22:00:00,task_order_award,task_order_award,government_contract_awards,0,0,0.9545319906647172,1.0,0.5666666666666667,ok,10,60,-0.0326686209720257,-0.0321407652939939,-0.0354838731089268,1,-0.0321407652939939,0.001,-0.0331407652939939
64,government_contract_LHX_FA881922C0001,LHX,2025-02-28,2025-02-27 22:00:22,new_contract_award,new_contract_award,government_contract_awards,1,1,0.8113955257292146,1.0,0.5573770491803278,ok,10,61,0.001792047718192,0.0017936543953083,0.0059053224595626,1,0.0017936543953080974,0.001,0.0007936543953080974
65,government_contract_SAIC_W31P4Q21F0033,SAIC,2025-02-28,2025-02-27 22:00:22,task_order_award,task_order_award,government_contract_awards,0,0,0.9772558472691792,1.0,0.5573770491803278,ok,10,61,-0.0232694222104576,-0.023000776979559,-0.0176014428748673,1,-0.023000776979558935,0.001,-0.024000776979558935
66,government_contract_LDOS_N0002423F6313,LDOS,2025-03-10,2025-03-07 22:00:00,task_order_award,task_order_award,government_contract_awards,1,1,0.611214572609867,1.0,0.5625,ok,10,64,0.0049565551527687,0.0049688591924108,-0.0133583567386739,1,0.004968859192410857,0.001,0.003968859192410857
67,government_contract_GD_N0002424C2301,GD,2025-03-17,2025-03-14 21:00:06,new_contract_award,new_contract_award,government_contract_awards,1,1,0.8294315285117817,1.0,0.5606060606060606,ok,10,66,0.0086854696484051,0.0087232977789577,0.0120215306296964,1,0.00872329777895775,0.001,0.00772329777895775
68,government_contract_HII_N5523625F9975,HII,2025-03-20,2025-03-19 21:00:12,task_order_award,task_order_award,government_contract_awards,0,0,0.7649527022325376,1.0,0.5606060606060606,ok,10,66,-0.0221624987444335,-0.0219187148438112,-0.0275755476698383,1,-0.021918714843811138,0.001,-0.02291871484381114
69,government_contract_RTX_N0002421C5411,RTX,2025-03-21,2025-03-20 21:00:11,new_contract_award,new_contract_award,government_contract_awards,0,0,0.8663458821029653,1.0,0.5671641791044776,ok,10,67,-0.0167460888733913,-0.0166066525497644,-0.0156168058377949,1,-0.016606652549764456,0.001,-0.017606652549764457
72,government_contract_LMT_N0001923C0058,LMT,2025-04-01,2025-03-31 21:00:09,new_contract_award,new_contract_award,government_contract_awards,1,1,0.8196519410750799,1.0,0.5571428571428572,ok,10,70,0.0065878873514052,0.0066096352125391,0.0043204478106257,1,0.0066096352125391,0.001,0.0056096352125391
71,government_contract_LHX_FA254125CB038,LHX,2025-04-01,2025-03-31 21:00:09,new_contract_award,new_contract_award,government_contract_awards,1,1,0.8220961909167086,1.0,0.5571428571428572,ok,10,70,0.0023711594435319,0.0023739728653364,0.0021020566328122,1,0.002373972865336249,0.001,0.001373972865336249
74,government_contract_NOC_N0001921F0889,NOC,2025-04-03,2025-04-02 21:00:06,task_order_award,task_order_award,government_contract_awards,1,1,0.7184056397159373,1.0,0.5571428571428572,ok,10,70,0.0056609099806897,0.0056769632092597,0.0058378042489373,1,0.0056769632092597,0.001,0.0046769632092597
76,government_contract_RTX_FA867521C0034,RTX,2025-04-04,2025-04-03 21:00:25,new_contract_award,new_contract_award,government_contract_awards,0,0,0.933114245442276,1.0,0.5633802816901409,ok,10,71,-0.076292138363573,-0.0734545124649032,-0.098133934766651,1,-0.0734545124649032,0.001,-0.0744545124649032
79,government_contract_RTX_FA867523C0037,RTX,2025-05-08,2025-05-07 21:00:52,new_contract_award,new_contract_award,government_contract_awards,1,1,0.8169687893175203,1.0,0.5569620253164557,ok,10,79,0.0043101515275151,0.0043194535902419,0.0091764768422013,1,0.004319453590241773,0.001,0.003319453590241773
81,government_contract_BA_W58RGZ23F0120,BA,2025-05-15,2025-05-14 21:00:32,task_order_award,task_order_award,government_contract_awards,0,0,0.8362214939022972,1.0,0.5569620253164557,ok,10,79,-0.0010506548775779,-0.00105010313299,0.0074247961283582,1,-0.0010501031329899213,0.001,-0.0020501031329899213
86,government_contract_NOC_N0001923C0001,NOC,2025-05-23,2025-05-22 21:00:25,new_contract_award,new_contract_award,government_contract_awards,0,0,0.6981513891421642,1.0,0.5555555555555556,ok,10,81,-0.0021289563157957,-0.0021266916956759,-0.0030029638169614,1,-0.0021266916956759196,0.001,-0.0031266916956759197
