nct_id,status,brief_title,official_title,overall_status,start_date,primary_completion_date,study_first_submit_date,last_update_submit_date,phases,enrollment_count,conditions,interventions,source_url
NCT00296764,ok,Characterization of Angelman Syndrome,Angelman Syndrome Natural History Study,COMPLETED,2006-02,2014-08,2006-02-24,2021-02-28,,302,Angelman Syndrome,,https://clinicaltrials.gov/study/NCT00296764
NCT01529424,ok,"Safety, Tolerability, and Pharmacokinetic Study of ISIS ApoC-III Rx in Hypertriglyceridemia","A Randomized, Double-Blind, Placebo-Controlled, Dose Response, Phase 2 Study of ISIS 304801 Administered Subcutaneously to Patients With Severe or Uncontrolled Hypertriglyceridemia",COMPLETED,2012-02,2014-01,2012-02-06,2022-01-25,PHASE2,89,Hypertriglyceridemia,ISIS apoC-III Rx;ISIS apoC-III Rx;ISIS apoC-III Rx;Placebo;Placebo;Placebo,https://clinicaltrials.gov/study/NCT01529424
NCT02360579,ok,"Study of Lifileucel (LN-144), Autologous Tumor Infiltrating Lymphocytes, in the Treatment of Patients With Metastatic Melanoma","A Phase 2, Multicenter Study to Assess the Efficacy and Safety of Autologous Tumor Infiltrating Lymphocytes (LN-144) for Treatment of Patients With Metastatic Melanoma",COMPLETED,2015-09-24,2024-10-24,2015-02-03,2026-03-05,PHASE2,220,Metastatic Melanoma,Lifileucel,https://clinicaltrials.gov/study/NCT02360579
NCT02426086,ok,Study to Evaluate Activity of 2 Dose Levels of Imetelstat in Participants With Intermediate-2 or High-Risk Myelofibrosis (MF) Previously Treated With Janus Kinase (JAK) Inhibitor,"A Randomized, Single-Blind, Multicenter Phase 2 Study to Evaluate the Activity of 2 Dose Levels of Imetelstat in Subjects With Intermediate-2 or High-Risk Myelofibrosis (MF) Relapsed/Refractory to Janus Kinase (JAK) Inhibitor",COMPLETED,2015-08-28,2018-04-26,2015-04-21,2021-08-17,PHASE2,107,Myelofibrosis,Imetelstat 4.7 mg/kg;Imetelstat 9.4 mg/kg,https://clinicaltrials.gov/study/NCT02426086
NCT02716246,ok,Phase I/II/III Gene Transfer Clinical Trial of scAAV9.U1a.hSGSH,Phase I/II/III Gene Transfer Clinical Trial of scAAV9.U1a.hSGSH for Mucopolysaccharidosis (MPS) IIIA,RECRUITING,2016-04-25,2027-07,2016-03-17,2026-04-21,PHASE2;PHASE3,36,MPS IIIA;Sanfilippo Syndrome;Sanfilippo A;Mucopolysaccharidosis III,UX111;Prophylactic Immunomodulatory (IM) Therapy;Optimized Prophylactic IM Therapy;Adjuvant IM Therapy,https://clinicaltrials.gov/study/NCT02716246
NCT02793583,ok,Study to Assess the Efficacy and Safety of Ublituximab + Umbralisib With or Without Bendamustine and Umbralisib Alone in Patients With Previously Treated Non-Hodgkins Lymphoma,A Phase 2b Randomized Study to Assess the Efficacy and Safety of the Combination of Ublituximab + Umbralisib With or Without Bendamustine and Umbralisib Alone in Patients With Previously Treated Non-Hodgkin's Lymphoma,TERMINATED,2016-05-25,2022-05-31,2016-05-23,2022-07-20,PHASE2;PHASE3,710,Diffuse Large B-Cell Lymphoma;Follicular Lymphoma;Marginal Zone Lymphoma;Mantle Cell Lymphoma;Small Lymphocytic Lymphoma,Ublituximab;Umbralisib;Bendamustine,https://clinicaltrials.gov/study/NCT02793583
NCT03218917,ok,Assessment of INS1007 in Participants With Non-Cystic Fibrosis Bronchiectasis,"Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Multi-Center Study to Assess the Efficacy, Safety & Tolerability, and PK of INS1007 Administered Once Daily for 24 Weeks in Subjects With Non-CF Bronchiectasis - The Willow Study",COMPLETED,2017-10-31,2019-12-12,2017-07-11,2023-03-23,PHASE2,256,Non-Cystic Fibrosis Bronchiectasis,Brensocatib 10 mg;Brensocatib 25 mg;Placebo,https://clinicaltrials.gov/study/NCT03218917
NCT03277261,ok,Study to Assess the Efficacy and Safety of Ublituximab in Participants With Relapsing Forms of Multiple Sclerosis (RMS) ( ULTIMATE 1 ),Phase III: UbLiTuximab In Multiple Sclerosis Treatment Effects (ULTIMATE I STUDY),COMPLETED,2017-09-19,2020-07-23,2017-09-07,2021-11-05,PHASE3,549,Relapsing Multiple Sclerosis (RMS),Ublituximab;Teriflunomide;Oral Placebo;IV Placebo,https://clinicaltrials.gov/study/NCT03277261
NCT03336580,ok,A Study of PRX004 in Subjects With Amyloid Transthyretin (ATTR) Amyloidosis,"A Phase 1, Open-label, Dose Escalation Study of Intravenous PRX004 in Subjects With Amyloid Transthyretin (ATTR) Amyloidosis",TERMINATED,2018-04-05,2020-07-23,2017-10-23,2020-08-18,PHASE1,21,Amyloidogenic Transthyretin (ATTR) Amyloidosis,PRX004,https://clinicaltrials.gov/study/NCT03336580
NCT03375164,ok,A Gene Transfer Therapy Study to Evaluate the Safety of Delandistrogene Moxeparvovec (SRP-9001) in Participants With Duchenne Muscular Dystrophy (DMD),Systemic Gene Delivery Phase I/IIa Clinical Trial for Duchenne Muscular Dystrophy Using rAAVrh74.MHCK7.Micro-dystrophin (microDys-IV-001),COMPLETED,2018-01-04,2023-04-25,2017-12-04,2024-11-12,PHASE1;PHASE2,4,Duchenne Muscular Dystrophy,delandistrogene moxeparvovec,https://clinicaltrials.gov/study/NCT03375164
