event_id,ticker,event_time,source_doc_ids,usable_fact_count,source_type,source_url,source_evidence_text,biotech_catalyst_event_type,event_type,drug_asset,indication,trial_phase,nct_id,trial_name,primary_endpoint,endpoint_met,p_value,hazard_ratio,response_rate,overall_survival,progression_free_survival,safety_issue,adverse_event_language,fda_action,approval_status,complete_response_letter_flag,advisory_committee_vote_for,advisory_committee_vote_against,pdufa_date,accelerated_approval_flag,label_expansion_flag,affected_pipeline_asset_count,company_pipeline_concentration_notes,binary_catalyst_flag,clinical_trial_readout_flag,regulatory_decision_flag,designation_only_flag,safety_negative_flag,approval_or_label_expansion_flag,trial_failure_flag,trial_success_flag,pipeline_concentration_required_flag,event_direction_pre_price,materiality_pre_price,label_quality,evidence_status,parser_quality_flags,parser_quality_flags_confidence,parser_quality_flags_evidence,materiality,trial_phase_confidence,trial_phase_evidence,indication_confidence,indication_evidence,drug_asset_confidence,drug_asset_evidence,trial_name_confidence,trial_name_evidence,adverse_event_language_confidence,adverse_event_language_evidence,safety_issue_confidence,safety_issue_evidence,approval_status_confidence,approval_status_evidence,fda_action_confidence,fda_action_evidence,event_type_confidence,event_type_evidence,source_evidence_text_confidence,source_evidence_text_evidence,pdufa_date_confidence,pdufa_date_evidence,endpoint_met_confidence,endpoint_met_evidence,p_value_confidence,p_value_evidence,primary_endpoint_confidence,primary_endpoint_evidence,complete_response_letter_flag_confidence,complete_response_letter_flag_evidence,label_expansion_flag_confidence,label_expansion_flag_evidence,nct_id_confidence,nct_id_evidence,accelerated_approval_flag_confidence,accelerated_approval_flag_evidence,response_rate_confidence,response_rate_evidence,progression_free_survival_confidence,progression_free_survival_evidence,overall_survival_confidence,overall_survival_evidence,hazard_ratio_confidence,hazard_ratio_evidence,advisory_committee_vote_against_confidence,advisory_committee_vote_against_evidence,advisory_committee_vote_for_confidence,advisory_committee_vote_for_evidence,company_pipeline_concentration_notes_confidence,company_pipeline_concentration_notes_evidence,affected_pipeline_asset_count_confidence,affected_pipeline_asset_count_evidence
ABBV_8-K_2020-01-27_0001104659-20-006940,ABBV,2020-01-27T13:26:20,ABBV_8-K_2020-01-27_0001104659-20-006940_tm205890d1_8k;ABBV_8-K_2020-01-27_0001104659-20-006940_tm205890d1_ex99-1,2,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1551152/000110465920006940/tm205890d1_8k.htm,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,unknown,unknown,machine_candidate,needs_evidence_review,pipeline_table_requires_new_result;previously_announced_not_new,0.75,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV_8-K_2020-02-24_0001104659-20-024097,ABBV,2020-02-24T14:12:48,ABBV_8-K_2020-02-24_0001104659-20-024097_tm209721d1_8k;ABBV_8-K_2020-02-24_0001104659-20-024097_tm209721d1_ex99-1,2,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1551152/000110465920024097/tm209721d1_8k.htm,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,unknown,unknown,machine_candidate,needs_evidence_review,pipeline_table_requires_new_result;previously_announced_not_new,0.75,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV_8-K_2020-03-09_0001104659-20-030507,ABBV,2020-03-09T13:44:51,ABBV_8-K_2020-03-09_0001104659-20-030507_tm2012020-1_8k;ABBV_8-K_2020-03-09_0001104659-20-030507_tm2012020d1_ex99-1,2,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1551152/000110465920030507/tm2012020-1_8k.htm,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,unknown,unknown,machine_candidate,needs_evidence_review,pipeline_table_requires_new_result;previously_announced_not_new,0.75,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV_8-K_2020-03-23_0001104659-20-037093,ABBV,2020-03-23T12:14:05,ABBV_8-K_2020-03-23_0001104659-20-037093_tm2013434d1_8k;ABBV_8-K_2020-03-23_0001104659-20-037093_tm2013434d1_ex99-1,2,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1551152/000110465920037093/tm2013434d1_8k.htm,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,unknown,unknown,machine_candidate,needs_evidence_review,pipeline_table_requires_new_result;previously_announced_not_new,0.75,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV_8-K_2020-04-06_0001104659-20-043408,ABBV,2020-04-06T12:08:23,ABBV_8-K_2020-04-06_0001104659-20-043408_tm2015052-1_8k;ABBV_8-K_2020-04-06_0001104659-20-043408_tm2015052d1_ex99-1,2,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1551152/000110465920043408/tm2015052-1_8k.htm,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,unknown,unknown,machine_candidate,needs_evidence_review,pipeline_table_requires_new_result;previously_announced_not_new,0.75,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV_8-K_2020-04-20_0001104659-20-048487,ABBV,2020-04-20T12:13:47,ABBV_8-K_2020-04-20_0001104659-20-048487_tm2016296-1_8k;ABBV_8-K_2020-04-20_0001104659-20-048487_tm2016296d1_ex99-1,2,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1551152/000110465920048487/tm2016296-1_8k.htm,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,unknown,unknown,machine_candidate,needs_evidence_review,pipeline_table_requires_new_result;previously_announced_not_new,0.75,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV_8-K_2020-04-27_0001104659-20-051316,ABBV,2020-04-27T12:13:57,ABBV_8-K_2020-04-27_0001104659-20-051316_tm2016900-1_8k;ABBV_8-K_2020-04-27_0001104659-20-051316_tm2016900d1_ex99-1,2,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1551152/000110465920051316/tm2016900-1_8k.htm,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,unknown,unknown,machine_candidate,needs_evidence_review,pipeline_table_requires_new_result;previously_announced_not_new,0.75,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV_8-K_2020-05-06_0001104659-20-057093,ABBV,2020-05-06T01:02:34,ABBV_8-K_2020-05-06_0001104659-20-057093_tm2018740-1_8k;ABBV_8-K_2020-05-06_0001104659-20-057093_tm2018740d1_ex99-1;ABBV_8-K_2020-05-06_0001104659-20-057093_tm2018740d1_ex99-2,7,sec_exhibit,https://www.sec.gov/Archives/edgar/data/1551152/000110465920057093/tm2018740d1_ex99-1.htm,,unknown,,AstraZeneca,development for autoimmune disease,phase_2_3,,EXPEDITION,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,unknown,unknown,machine_candidate,needs_evidence_review,pipeline_table_requires_new_result;previously_announced_not_new,0.75,FTC Approval,0.45,0.9,The Phase IIb/III INTREPID program is underway to assess brazikumab compared to placebo or adalimumab in Crohn’s Disease,0.78,"As part of the proposed consent, Allergan has agreed to divest brazikumab, an investigational IL-23 inhibitor in development for autoimmune diseases, to AstraZeneca and Zenpep, a treatment for exocrine pancreatic insufficiency due to cystic fibrosis and other conditions, to Nestle",0.76,"As part of the proposed consent, Allergan has agreed to divest brazikumab, an investigational IL-23 inhibitor in development for autoimmune diseases, to AstraZeneca and Zenpep, a treatment for exocrine pancreatic insufficiency due to cystic fibrosis and other conditions, to Nestle",0.7,The Phase II EXPEDITION trial is underway to assess brazikumab compared to placebo or vedolizumab in Ulcerative Colitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV_8-K_2020-05-08_0001104659-20-058837,ABBV,2020-05-08T20:31:30,ABBV_8-K_2020-05-08_0001104659-20-058837_tm2018740d2_8k;ABBV_8-K_2020-05-08_0001104659-20-058837_tm2018740d2_ex99-1,3,sec_exhibit,https://www.sec.gov/Archives/edgar/data/1551152/000110465920058837/tm2018740d2_ex99-1.htm,,unknown,,Allergan,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,unknown,unknown,machine_candidate,needs_evidence_review,pipeline_table_requires_new_result;previously_announced_not_new,0.75,,0.45,,,,,0.76,", May 8, 2020 – AbbVie (NYSE: ABBV), a research-based global biopharmaceutical company, announced today that it has completed its acquisition of Allergan plc following receipt of regulatory approval from all government authorities required by the transaction agreement and approval by the Irish High Court",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV_8-K_2020-05-14_0001104659-20-061621,ABBV,2020-05-14T20:16:35,ABBV_8-K_2020-05-14_0001104659-20-061621_tm2019527-2_8k;ABBV_8-K_2020-05-14_0001104659-20-061621_tm2019527d2_ex99-1,2,sec_primary_filing,https://www.sec.gov/Archives/edgar/data/1551152/000110465920061621/tm2019527-2_8k.htm,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,unknown,unknown,machine_candidate,needs_evidence_review,pipeline_table_requires_new_result;previously_announced_not_new,0.75,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
