ticker,asof_date,filed_at,shares_outstanding_before_event,source_type,source_url,accession_number,form,confidence,notes
CABA,2019-12-05,2019-12-05,24034022.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1759138/000156459019045375,0001564590-19-045375,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
CABA,2020-03-20,2020-03-30,24034022.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1759138/000156459020013929,0001564590-20-013929,10-K,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
CABA,2020-05-08,2020-05-12,24034022.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1759138/000156459020024508,0001564590-20-024508,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
CABA,2020-07-29,2020-08-06,24039594.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1759138/000156459020037278,0001564590-20-037278,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
CABA,2020-11-02,2020-11-10,24055467.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1759138/000156459020052757,0001564590-20-052757,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
CABA,2021-03-10,2021-03-16,24062775.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1759138/000156459021013329,0001564590-21-013329,10-K,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
CABA,2021-04-29,2021-05-03,24928333.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1759138/000156459021022689,0001564590-21-022689,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
CABA,2021-07-30,2021-08-05,24972830.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1759138/000156459021041196,0001564590-21-041196,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
CABA,2021-10-29,2021-11-01,28331638.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1759138/000156459021053043,0001564590-21-053043,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
CABA,2022-03-10,2022-03-17,28977129.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1759138/000156459022010726,0001564590-22-010726,10-K,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
CABA,2022-05-06,2022-05-12,28977129.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1759138/000156459022019677,0001564590-22-019677,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
CABA,2022-08-05,2022-08-11,29013995.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1759138/000095017022016650,0000950170-22-016650,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
CABA,2022-11-04,2022-11-10,29013995.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1759138/000095017022024168,0000950170-22-024168,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
CABA,2023-03-10,2023-03-16,31340989.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1759138/000095017023008298,0000950170-23-008298,10-K,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
CABA,2023-05-05,2023-05-11,31355723.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1759138/000095017023020849,0000950170-23-020849,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
CABA,2023-08-04,2023-08-10,39805032.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1759138/000095017023040966,0000950170-23-040966,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
CABA,2023-11-03,2023-11-09,42849412.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1759138/000095017023061528,0000950170-23-061528,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
CABA,2024-03-15,2024-03-21,48241615.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1759138/000095017024034422,0000950170-24-034422,10-K,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
CABA,2024-05-10,2024-05-15,48276522.0,sec_companyfacts_dei,https://www.sec.gov/Archives/edgar/data/1759138/000095017024060045,0000950170-24-060045,10-Q,0.82,SEC companyfacts DEI EntityCommonStockSharesOutstanding; join uses latest filed_at <= event_time.
