dedupe_group_id,dedupe_group_size,dedupe_status,timestamp_policy_status,event_id,ticker,event_time_original,event_time_selected,release_session_selected,price_per_share,financing_amount_best
CR_TS_009,2,canonical,low_timestamp_confidence,BEAM_424B7_2021-04-01_0001193125-21-103221,BEAM,2021-04-01T11:24:16,2021-04-01T11:24:16,intraday,93.0,260000100.0
CR_TS_009,2,duplicate_same_financing_cluster,duplicate_same_financing_cluster,BEAM_424B7_2021-04-01_0001193125-21-103240,BEAM,2021-04-01T11:36:21,2021-04-01T11:36:21,intraday,,
CR_TS_013,4,canonical,ok,BLNK_8-K_2023-02-06_0001493152-23-003711,BLNK,2023-02-06T21:35:41,2023-02-06T16:35:41,after_close,,75000000.0
CR_TS_013,4,duplicate_same_financing_cluster,duplicate_same_financing_cluster,BLNK_424B5_2023-02-06_0001493152-23-003705,BLNK,2023-02-06T21:26:59,2023-02-06T21:26:59,after_close,14.06,74999990.86
CR_TS_013,4,duplicate_same_financing_cluster,duplicate_same_financing_cluster,BLNK_8-K_2023-02-07_0001493152-23-003879,BLNK,2023-02-07T22:25:29,2023-02-07T17:25:29,after_close,12.0,100000000.0
CR_TS_013,4,duplicate_same_financing_cluster,duplicate_same_financing_cluster,BLNK_424B5_2023-02-08_0001493152-23-003962,BLNK,2023-02-08T21:59:07,2023-02-08T21:59:07,after_close,12.0,94622000.0
CR_TS_015,2,canonical,ok,BLNK_424B4_2025-12-11_0001493152-25-027305,BLNK,2025-12-11T22:28:23,2025-12-11T22:28:23,after_close,0.75,18400000.0
CR_TS_015,2,duplicate_same_financing_cluster,duplicate_same_financing_cluster,BLNK_8-K_2025-12-12_0001493152-25-027377,BLNK,2025-12-12T14:00:20,2025-12-12T09:00:20,before_open,0.75,20000000.0
CR_TS_021,2,canonical,ok,CHPT_424B3_2021-12-02_0001193125-21-346749,CHPT,2021-12-02T21:40:16,2021-12-02T21:40:16,after_close,,
CR_TS_021,2,duplicate_same_financing_cluster,duplicate_same_financing_cluster,CHPT_424B3_2021-12-02_0001193125-21-346752,CHPT,2021-12-02T21:42:15,2021-12-02T21:42:15,after_close,,
CR_TS_023,2,canonical,low_timestamp_confidence,CHPT_424B3_2021-12-15_0001628280-21-025085,CHPT,2021-12-15T11:19:54,2021-12-15T11:19:54,intraday,10.0,225000000.0
CR_TS_023,2,duplicate_same_financing_cluster,duplicate_same_financing_cluster,CHPT_424B3_2021-12-15_0001628280-21-025086,CHPT,2021-12-15T11:22:00,2021-12-15T11:22:00,intraday,10.0,225000000.0
CR_TS_028,3,canonical,ok,FATE_424B5_2020-06-08_0001193125-20-163472,FATE,2020-06-08T20:11:29,2020-06-08T20:11:29,after_close,11.48,460000000.0
CR_TS_028,3,duplicate_same_financing_cluster,duplicate_same_financing_cluster,FATE_8-K_2020-06-10_0001193125-20-164916,FATE,2020-06-10T01:21:17,2020-06-09T21:21:17,after_close,28.31,50000000.0
CR_TS_028,3,duplicate_same_financing_cluster,duplicate_same_financing_cluster,FATE_424B5_2020-06-10_0001193125-20-164911,FATE,2020-06-10T01:18:05,2020-06-10T01:18:05,before_open,28.31,460000000.0
CR_TS_029,2,canonical,ok,FATE_424B5_2021-01-07_0001193125-21-004330,FATE,2021-01-07T22:25:25,2021-01-07T22:25:25,after_close,85.5,52500000.0
CR_TS_029,2,duplicate_same_financing_cluster,duplicate_same_financing_cluster,FATE_8-K_2021-01-08_0001193125-21-005180,FATE,2021-01-08T21:02:00,2021-01-08T16:02:00,after_close,85.5,52500000.0
CR_TS_038,2,canonical,low_timestamp_confidence,IONQ_424B5_2025-10-10_0001193125-25-236448,IONQ,2025-10-10T12:35:09,2025-10-10T12:35:09,intraday,93.0,1978500000.0
CR_TS_038,2,duplicate_same_financing_cluster,duplicate_same_financing_cluster,IONQ_424B5_2025-10-10_0001193125-25-236452,IONQ,2025-10-10T12:42:30,2025-10-10T12:42:30,intraday,93.0,1978500000.0
CR_TS_051,2,canonical,ok,LCID_424B5_2023-06-01_0001104659-23-066722,LCID,2023-05-31T22:46:57,2023-05-31T22:46:57,after_close,15.0,915000000.0
CR_TS_051,2,duplicate_same_financing_cluster,duplicate_same_financing_cluster,LCID_424B2_2023-06-02_0001104659-23-067653,LCID,2023-06-02T21:21:24,2023-06-02T21:21:24,after_close,15.0,915000000.0
