event_id,ticker,event_time_original,event_time_sec_acceptance,event_time_press_release,event_time_prospectus_supplement,event_time_offering_pricing_announcement,event_time_selected,event_time_source,release_session_original,release_session_inferred,release_session_selected,timestamp_confidence,timestamp_policy_status,dedupe_group_id,dedupe_status,model_eligible,timestamp_notes,source_url
ACHR_8-K_2025-02-11_0001104659-25-011476,ACHR,2025-02-11T21:07:39,2025-02-11T16:07:39,,,,2025-02-11T16:07:39,sec_acceptance,unknown,after_close,after_close,0.9,ok,CR_TS_001,canonical,True,No explicit press-release timestamp found in local normalized source docs. No explicit offering-pricing announcement timestamp found in local normalized source docs.,https://www.sec.gov/Archives/edgar/data/1824502/000110465925011476/tm255927d4_8k.htm
ACHR_8-K_2025-06-13_0001104659-25-059100,ACHR,2025-06-13T10:03:26,2025-06-13T06:03:26,,,,2025-06-13T06:03:26,sec_acceptance,unknown,before_open,before_open,0.9,ok,CR_TS_002,canonical,True,No explicit press-release timestamp found in local normalized source docs. No explicit offering-pricing announcement timestamp found in local normalized source docs.,https://www.sec.gov/Archives/edgar/data/1824502/000110465925059100/tm2517619d2_8k.htm
ACHR_8-K_2025-11-06_0001824502-25-000007,ACHR,2025-11-06T21:43:43,2025-11-06T16:43:43,,,,2025-11-06T16:43:43,sec_acceptance,unknown,after_close,after_close,0.9,ok,CR_TS_003,canonical,True,No explicit press-release timestamp found in local normalized source docs. No explicit offering-pricing announcement timestamp found in local normalized source docs.,https://www.sec.gov/Archives/edgar/data/1824502/000182450225000007/achr-20251106.htm
ACHR_424B7_2025-12-10_0001104659-25-120011,ACHR,2025-12-10T22:01:00,2025-12-10T22:01:00,,2025-12-10T22:01:00,,2025-12-10T22:01:00,prospectus_supplement_sec_acceptance_from_source_manifest,unknown,after_close,after_close,0.82,ok,CR_TS_004,canonical,True,SEC header acceptance not found locally; fell back to original event_time. No explicit press-release timestamp found in local normalized source docs. No explicit offering-pricing announcement timestamp found in local normalized source docs.,https://www.sec.gov/Archives/edgar/data/1824502/000110465925120011/tm2532126-3_424b7.htm
ARCT_8-K_2020-04-21_0001564590-20-017549,ARCT,2020-04-21T10:03:05,2020-04-21T06:03:05,,,,2020-04-21T06:03:05,sec_acceptance,unknown,before_open,before_open,0.9,ok,CR_TS_005,canonical,True,No explicit press-release timestamp found in local normalized source docs. No explicit offering-pricing announcement timestamp found in local normalized source docs.,https://www.sec.gov/Archives/edgar/data/1768224/000156459020017549/arct-8k_20200417.htm
ARCT_8-K_2020-07-29_0001193805-20-000902,ARCT,2020-07-29T10:02:20,2020-07-29T06:02:20,,,,2020-07-29T06:02:20,sec_acceptance,unknown,before_open,before_open,0.9,ok,CR_TS_006,canonical,True,No explicit press-release timestamp found in local normalized source docs. No explicit offering-pricing announcement timestamp found in local normalized source docs.,https://www.sec.gov/Archives/edgar/data/1768224/000119380520000902/e619811_8k-at.htm
ARCT_8-K_2020-12-08_0001193805-20-001508,ARCT,2020-12-08T14:01:14,2020-12-08T09:01:14,,,,2020-12-08T09:01:14,sec_acceptance,unknown,before_open,before_open,0.9,ok,CR_TS_007,canonical,True,No explicit press-release timestamp found in local normalized source docs. No explicit offering-pricing announcement timestamp found in local normalized source docs.,https://www.sec.gov/Archives/edgar/data/1768224/000119380520001508/e620125_8k-at.htm
BEAM_424B4_2020-02-07_0001193125-20-026941,BEAM,2020-02-06T22:46:23,2020-02-06T22:46:23,,2020-02-06T22:46:23,,2020-02-06T22:46:23,prospectus_supplement_sec_acceptance_from_source_manifest,unknown,after_close,after_close,0.82,ok,CR_TS_008,canonical,True,SEC header acceptance not found locally; fell back to original event_time. No explicit press-release timestamp found in local normalized source docs. No explicit offering-pricing announcement timestamp found in local normalized source docs.,https://www.sec.gov/Archives/edgar/data/1745999/000119312520026941/d221975d424b4.htm
BEAM_424B7_2021-04-01_0001193125-21-103221,BEAM,2021-04-01T11:24:16,2021-04-01T11:24:16,,2021-04-01T11:24:16,,2021-04-01T11:24:16,prospectus_supplement_sec_acceptance,unknown,intraday,intraday,0.7,low_timestamp_confidence,CR_TS_009,canonical,False,SEC header acceptance not found locally; fell back to original event_time. No explicit press-release timestamp found in local normalized source docs. No explicit offering-pricing announcement timestamp found in local normalized source docs. Intraday timestamp with daily bars only; marked ineligible under strict policy.,https://www.sec.gov/Archives/edgar/data/1745999/000119312521103221/d163930d424b7.htm
BEAM_424B7_2021-04-01_0001193125-21-103240,BEAM,2021-04-01T11:36:21,2021-04-01T11:36:21,,2021-04-01T11:36:21,,2021-04-01T11:36:21,prospectus_supplement_sec_acceptance,unknown,intraday,intraday,0.7,duplicate_same_financing_cluster,CR_TS_009,duplicate_same_financing_cluster,False,SEC header acceptance not found locally; fell back to original event_time. No explicit press-release timestamp found in local normalized source docs. No explicit offering-pricing announcement timestamp found in local normalized source docs. Intraday timestamp with daily bars only; marked ineligible under strict policy.,https://www.sec.gov/Archives/edgar/data/1745999/000119312521103240/d138598d424b7.htm
BEAM_8-K_2023-10-31_0000950170-23-056542,BEAM,2023-10-31T10:44:50,2023-10-31T06:44:50,,,,2023-10-31T06:44:50,sec_acceptance,unknown,before_open,before_open,0.9,ok,CR_TS_010,canonical,True,No explicit press-release timestamp found in local normalized source docs. No explicit offering-pricing announcement timestamp found in local normalized source docs.,https://www.sec.gov/Archives/edgar/data/1745999/000095017023056542/beam-20231027.htm
BLNK_424B5_2021-01-08_0001493152-21-000610,BLNK,2021-01-08T21:41:11,2021-01-08T21:41:11,,2021-01-08T21:41:11,,2021-01-08T21:41:11,prospectus_supplement_sec_acceptance_from_source_manifest,unknown,after_close,after_close,0.82,ok,CR_TS_011,canonical,True,SEC header acceptance not found locally; fell back to original event_time. No explicit press-release timestamp found in local normalized source docs. No explicit offering-pricing announcement timestamp found in local normalized source docs.,https://www.sec.gov/Archives/edgar/data/1429764/000149315221000610/form424b5.htm
