event_id,ticker,event_time,source_doc_ids,usable_fact_count,source_type,source_url,release_session,agency,agency_confidence,agency_evidence,task_order_number,task_order_number_confidence,task_order_number_evidence,award_amount,award_amount_confidence,award_amount_evidence,award_type,award_type_confidence,award_type_evidence,contract_number,contract_number_confidence,contract_number_evidence,contract_type,contract_type_confidence,contract_type_evidence,obligated_amount,obligated_amount_confidence,obligated_amount_evidence,mapping_type,mapping_type_confidence,mapping_type_evidence,mapped_ticker,mapped_ticker_confidence,mapped_ticker_evidence,naics_code,naics_code_confidence,naics_code_evidence,recipient_mapping_confidence,recipient_mapping_confidence_confidence,recipient_mapping_confidence_evidence,recipient_name,recipient_name_confidence,recipient_name_evidence,product_or_service_description,product_or_service_description_confidence,product_or_service_description_evidence,period_of_performance_start,period_of_performance_start_confidence,period_of_performance_start_evidence,prime_or_sub,prime_or_sub_confidence,prime_or_sub_evidence,period_of_performance_end,period_of_performance_end_confidence,period_of_performance_end_evidence,parent_company_name,parent_company_name_confidence,parent_company_name_evidence,sub_agency,sub_agency_confidence,sub_agency_evidence,subsidiary_name,subsidiary_name_confidence,subsidiary_name_evidence,psc_code,psc_code_confidence,psc_code_evidence,government_contract_event_type,government_contract_event_type_confidence,government_contract_event_type_evidence,actual_funded_award_flag,actual_funded_award_flag_confidence,actual_funded_award_flag_evidence,incumbent_or_extension_flag,incumbent_or_extension_flag_confidence,incumbent_or_extension_flag_evidence,ceiling_only_flag,ceiling_only_flag_confidence,ceiling_only_flag_evidence,modification_flag,modification_flag_confidence,modification_flag_evidence,new_work_flag,new_work_flag_confidence,new_work_flag_evidence,new_vs_modification,new_vs_modification_confidence,new_vs_modification_evidence,materiality_context_required_flag,materiality_context_required_flag_confidence,materiality_context_required_flag_evidence,option_exercise_flag,option_exercise_flag_confidence,option_exercise_flag_evidence,recompete_or_extension_flag,recompete_or_extension_flag_confidence,recompete_or_extension_flag_evidence,prime_contractor_flag,prime_contractor_flag_confidence,prime_contractor_flag_evidence,subcontractor_flag,subcontractor_flag_confidence,subcontractor_flag_evidence,parser_quality_flags,parser_quality_flags_confidence,parser_quality_flags_evidence,model_eligible_candidate_flag,modification_number,modification_number_confidence,modification_number_evidence,contract_ceiling,contract_ceiling_confidence,contract_ceiling_evidence
government_contract_AVAV_H9240821F0007,AVAV,2021-02-04T12:00:00,usaspending_CONT_AWD_H9240821F0007_9700_H9240820D0003_9700,33,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_H9240821F0007_9700_H9240820D0003_9700,unknown,Department of Defense,0.9,Department of Defense,H9240821F0007,0.9,H9240821F0007,13943566.27,0.9,source metadata,DELIVERY ORDER,0.9,DELIVERY ORDER,H9240821F0007,0.9,H9240821F0007,DELIVERY ORDER,0.9,DELIVERY ORDER,13943566.27,0.9,source metadata,known_subsidiary,0.9,known_subsidiary,AVAV,0.9,AVAV,541330,0.9,541330,0.88,0.9,source metadata,"ARCTURUS UAV, INC",0.9,"ARCTURUS UAV, INC",IRS SERVICES,0.9,IRS SERVICES,2021-02-04,0.9,2021-02-04,prime,0.9,prime,2023-01-20,0.9,2023-01-20,"AeroVironment, Inc.",0.9,"AeroVironment, Inc.",U.S. Special Operations Command,0.9,U.S. Special Operations Command,"Arcturus UAV, Inc.",0.9,"Arcturus UAV, Inc.",L015,0.9,L015,task_order_award,0.88,task/delivery order language,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,
government_contract_AVAV_W911QY21F0122,AVAV,2021-02-04T12:00:00,usaspending_CONT_AWD_W911QY21F0122_9700_W911QY18D0192_9700,32,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W911QY21F0122_9700_W911QY18D0192_9700,unknown,Department of Defense,0.9,Department of Defense,W911QY21F0122,0.9,W911QY21F0122,3235488.52,0.9,source metadata,DELIVERY ORDER,0.9,DELIVERY ORDER,W911QY21F0122,0.9,W911QY21F0122,DELIVERY ORDER,0.9,DELIVERY ORDER,3235488.52,0.9,source metadata,exact_public_company,0.9,exact_public_company,AVAV,0.9,AVAV,336411,0.9,336411,0.95,0.9,source metadata,"AEROVIRONMENT, INC.",0.9,"AEROVIRONMENT, INC.","LAYUP ASSY,FUSELAGE, PUMA AE,DDL",0.9,"LAYUP ASSY,FUSELAGE, PUMA AE,DDL",2021-02-04,0.9,2021-02-04,prime,0.9,prime,2021-09-28,0.9,2021-09-28,"AeroVironment, Inc.",0.9,"AeroVironment, Inc.",Department of the Army,0.9,Department of the Army,,,,1550,0.9,1550,task_order_award,0.88,task/delivery order language,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,
government_contract_AVAV_W31P4Q21C0029,AVAV,2021-03-23T12:00:00,usaspending_CONT_AWD_W31P4Q21C0029_9700_NONE_NONE_,31,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W31P4Q21C0029_9700_-NONE-_-NONE-,unknown,Department of Defense,0.9,Department of Defense,,,,12658236.02,0.9,source metadata,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,W31P4Q21C0029,0.9,W31P4Q21C0029,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,12658236.02,0.9,source metadata,exact_public_company,0.9,exact_public_company,AVAV,0.9,AVAV,336414,0.9,336414,0.95,0.9,source metadata,"AEROVIRONMENT, INC.",0.9,"AEROVIRONMENT, INC.",SWITCHBLADE CONTRACTOR LOGISTIC SERVICES,0.9,SWITCHBLADE CONTRACTOR LOGISTIC SERVICES,2021-03-23,0.9,2021-03-23,prime,0.9,prime,2025-02-26,0.9,2025-02-26,"AeroVironment, Inc.",0.9,"AeroVironment, Inc.",Department of the Army,0.9,Department of the Army,,,,J014,0.9,J014,new_contract_award,0.76,contract award language,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,
government_contract_AVAV_W911QY21F0222,AVAV,2021-03-30T12:00:00,usaspending_CONT_AWD_W911QY21F0222_9700_W911QY18D0192_9700,32,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W911QY21F0222_9700_W911QY18D0192_9700,unknown,Department of Defense,0.9,Department of Defense,W911QY21F0222,0.9,W911QY21F0222,2688865.58,0.9,source metadata,DELIVERY ORDER,0.9,DELIVERY ORDER,W911QY21F0222,0.9,W911QY21F0222,DELIVERY ORDER,0.9,DELIVERY ORDER,2688865.58,0.9,source metadata,exact_public_company,0.9,exact_public_company,AVAV,0.9,AVAV,336411,0.9,336411,0.95,0.9,source metadata,"AEROVIRONMENT, INC.",0.9,"AEROVIRONMENT, INC.","ASSY, MOUNTED CAMERAS",0.9,"ASSY, MOUNTED CAMERAS",2021-03-30,0.9,2021-03-30,prime,0.9,prime,2021-09-27,0.9,2021-09-27,"AeroVironment, Inc.",0.9,"AeroVironment, Inc.",Department of the Army,0.9,Department of the Army,,,,1550,0.9,1550,task_order_award,0.88,task/delivery order language,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,
government_contract_AVAV_W911QY21F0240,AVAV,2021-04-09T12:00:00,usaspending_CONT_AWD_W911QY21F0240_9700_W911QY18D0192_9700,32,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W911QY21F0240_9700_W911QY18D0192_9700,unknown,Department of Defense,0.9,Department of Defense,W911QY21F0240,0.9,W911QY21F0240,4201889.53,0.9,source metadata,DELIVERY ORDER,0.9,DELIVERY ORDER,W911QY21F0240,0.9,W911QY21F0240,DELIVERY ORDER,0.9,DELIVERY ORDER,4201889.53,0.9,source metadata,exact_public_company,0.9,exact_public_company,AVAV,0.9,AVAV,336411,0.9,336411,0.95,0.9,source metadata,"AEROVIRONMENT, INC.",0.9,"AEROVIRONMENT, INC.","ASSY,PAYLOAD GIMBAL, MANTIS I23,RQ-11C",0.9,"ASSY,PAYLOAD GIMBAL, MANTIS I23,RQ-11C",2021-04-09,0.9,2021-04-09,prime,0.9,prime,2021-10-06,0.9,2021-10-06,"AeroVironment, Inc.",0.9,"AeroVironment, Inc.",Department of the Army,0.9,Department of the Army,,,,1550,0.9,1550,task_order_award,0.88,task/delivery order language,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,
government_contract_AVAV_W911QY21F0251,AVAV,2021-04-19T12:00:00,usaspending_CONT_AWD_W911QY21F0251_9700_W911QY18D0192_9700,32,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W911QY21F0251_9700_W911QY18D0192_9700,unknown,Department of Defense,0.9,Department of Defense,W911QY21F0251,0.9,W911QY21F0251,1580736.05,0.9,source metadata,DELIVERY ORDER,0.9,DELIVERY ORDER,W911QY21F0251,0.9,W911QY21F0251,DELIVERY ORDER,0.9,DELIVERY ORDER,1580736.05,0.9,source metadata,exact_public_company,0.9,exact_public_company,AVAV,0.9,AVAV,336411,0.9,336411,0.95,0.9,source metadata,"AEROVIRONMENT, INC.",0.9,"AEROVIRONMENT, INC.","ASSY, BATTERY, RECHARGEABLE, LI-POLYMER,",0.9,"ASSY, BATTERY, RECHARGEABLE, LI-POLYMER,",2021-04-19,0.9,2021-04-19,prime,0.9,prime,2021-11-10,0.9,2021-11-10,"AeroVironment, Inc.",0.9,"AeroVironment, Inc.",Department of the Army,0.9,Department of the Army,,,,1550,0.9,1550,task_order_award,0.88,task/delivery order language,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,
government_contract_AVAV_HR001121C0058,AVAV,2021-04-28T12:00:00,usaspending_CONT_AWD_HR001121C0058_9700_NONE_NONE_,31,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_HR001121C0058_9700_-NONE-_-NONE-,unknown,Department of Defense,0.9,Department of Defense,,,,29808493.0,0.9,source metadata,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,HR001121C0058,0.9,HR001121C0058,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,29808493.0,0.9,source metadata,exact_public_company,0.9,exact_public_company,AVAV,0.9,AVAV,541715,0.9,541715,0.95,0.9,source metadata,"AEROVIRONMENT, INC.",0.9,"AEROVIRONMENT, INC.",DARPA RESEARCH PROJECT.,0.9,DARPA RESEARCH PROJECT.,2021-04-28,0.9,2021-04-28,prime,0.9,prime,2025-02-28,0.9,2025-02-28,"AeroVironment, Inc.",0.9,"AeroVironment, Inc.",Defense Advanced Research Projects Agency,0.9,Defense Advanced Research Projects Agency,,,,AC13,0.9,AC13,new_contract_award,0.76,contract award language,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,
government_contract_AVAV_N0010421CK933,AVAV,2021-04-30T12:00:00,usaspending_CONT_AWD_N0010421CK933_9700_NONE_NONE_,31,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0010421CK933_9700_-NONE-_-NONE-,unknown,Department of Defense,0.9,Department of Defense,,,,4069420.36,0.9,source metadata,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,N0010421CK933,0.9,N0010421CK933,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,4069420.36,0.9,source metadata,exact_public_company,0.9,exact_public_company,AVAV,0.9,AVAV,336414,0.9,336414,0.95,0.9,source metadata,"AEROVIRONMENT, INC.",0.9,"AEROVIRONMENT, INC.",SWITCHBLADE600,0.9,SWITCHBLADE600,2021-04-30,0.9,2021-04-30,prime,0.9,prime,2022-09-30,0.9,2022-09-30,"AeroVironment, Inc.",0.9,"AeroVironment, Inc.",Department of the Navy,0.9,Department of the Navy,,,,1550,0.9,1550,new_contract_award,0.76,contract award language,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,
government_contract_AVAV_H9240821F0012,AVAV,2021-05-21T12:00:00,usaspending_CONT_AWD_H9240821F0012_9700_H9240820D0003_9700,33,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_H9240821F0012_9700_H9240820D0003_9700,unknown,Department of Defense,0.9,Department of Defense,H9240821F0012,0.9,H9240821F0012,40154124.05,0.9,source metadata,DELIVERY ORDER,0.9,DELIVERY ORDER,H9240821F0012,0.9,H9240821F0012,DELIVERY ORDER,0.9,DELIVERY ORDER,40154124.05,0.9,source metadata,known_subsidiary,0.9,known_subsidiary,AVAV,0.9,AVAV,541330,0.9,541330,0.88,0.9,source metadata,"ARCTURUS UAV, INC",0.9,"ARCTURUS UAV, INC",HERO 1 SITE.,0.9,HERO 1 SITE.,2021-05-21,0.9,2021-05-21,prime,0.9,prime,2023-05-20,0.9,2023-05-20,"AeroVironment, Inc.",0.9,"AeroVironment, Inc.",U.S. Special Operations Command,0.9,U.S. Special Operations Command,"Arcturus UAV, Inc.",0.9,"Arcturus UAV, Inc.",L015,0.9,L015,task_order_award,0.88,task/delivery order language,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,
government_contract_AVAV_W911QY21F0395,AVAV,2021-08-10T12:00:00,usaspending_CONT_AWD_W911QY21F0395_9700_W911QY18D0192_9700,32,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W911QY21F0395_9700_W911QY18D0192_9700,unknown,Department of Defense,0.9,Department of Defense,W911QY21F0395,0.9,W911QY21F0395,1519606.68,0.9,source metadata,DELIVERY ORDER,0.9,DELIVERY ORDER,W911QY21F0395,0.9,W911QY21F0395,DELIVERY ORDER,0.9,DELIVERY ORDER,1519606.68,0.9,source metadata,exact_public_company,0.9,exact_public_company,AVAV,0.9,AVAV,336411,0.9,336411,0.95,0.9,source metadata,"AEROVIRONMENT, INC.",0.9,"AEROVIRONMENT, INC.","ASSY, FUSELAGE, BASIC, TINTED RESIN",0.9,"ASSY, FUSELAGE, BASIC, TINTED RESIN",2021-08-10,0.9,2021-08-10,prime,0.9,prime,2022-02-07,0.9,2022-02-07,"AeroVironment, Inc.",0.9,"AeroVironment, Inc.",Department of the Army,0.9,Department of the Army,,,,1550,0.9,1550,task_order_award,0.88,task/delivery order language,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,False,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,
