event_id,audit_bucket,source_doc_ids,source_type,source_url,event_time,release_session,recipient_name,parsed_ticker,reviewed_mapped_ticker,parsed_mapping_type,reviewed_mapping_type,parsed_recipient_mapping_confidence,reviewed_recipient_mapping_confidence,recipient_mapping_correct_flag,mapping_model_eligible_flag,parsed_government_contract_event_type,reviewed_government_contract_event_type,event_type_correct_flag,parsed_award_amount,reviewed_award_amount,parsed_obligated_amount,reviewed_obligated_amount,parsed_contract_ceiling,reviewed_contract_ceiling,amount_correct_flag,parsed_actual_funded_award_flag,reviewed_actual_funded_award_flag,parsed_ceiling_only_flag,reviewed_ceiling_only_flag,parsed_modification_flag,reviewed_modification_flag,parsed_option_exercise_flag,reviewed_option_exercise_flag,funded_vs_ceiling_correct_flag,timestamp_suitable_flag,public_awareness_evidence_status,model_eligible_after_audit,review_status,drop_reason,audit_notes
government_contract_LMT_N0001923C0003,new_funded_awards,usaspending_CONT_AWD_N0001923C0003_9700_NONE_NONE_,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0001923C0003_9700_-NONE-_-NONE-,2022-12-23T12:00:00,unknown,LOCKHEED MARTIN CORPORATION,LMT,LMT,exact_public_company,exact_public_company,0.96,0.96,True,True,new_contract_award,new_contract_award,True,24499786640.0,24499786640.0,24499786640.0,24499786640.0,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_LMT_W31P4Q24C0022,new_funded_awards,usaspending_CONT_AWD_W31P4Q24C0022_9700_NONE_NONE_,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W31P4Q24C0022_9700_-NONE-_-NONE-,2024-06-28T12:00:00,unknown,LOCKHEED MARTIN CORPORATION,LMT,LMT,exact_public_company,exact_public_company,0.96,0.96,True,True,new_contract_award,new_contract_award,True,7825572872.03,7825572872.03,7825572872.03,7825572872.03,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_HII_N0002423C2307,new_funded_awards,usaspending_CONT_AWD_N0002423C2307_9700_NONE_NONE_,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0002423C2307_9700_-NONE-_-NONE-,2023-08-01T12:00:00,unknown,HUNTINGTON INGALLS INCORPORATED,HII,HII,exact_public_company,exact_public_company,0.95,0.95,True,True,new_contract_award,new_contract_award,True,6948190150.83,6948190150.83,6948190150.83,6948190150.83,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_LMT_N0001924C0039,new_funded_awards,usaspending_CONT_AWD_N0001924C0039_9700_NONE_NONE_,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0001924C0039_9700_-NONE-_-NONE-,2024-06-28T12:00:00,unknown,LOCKHEED MARTIN CORPORATION,LMT,LMT,exact_public_company,exact_public_company,0.96,0.96,True,True,new_contract_award,new_contract_award,True,6179610861.0,6179610861.0,6179610861.0,6179610861.0,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_LMT_FA868224CB001,new_funded_awards,usaspending_CONT_AWD_FA868224CB001_9700_NONE_NONE_,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA868224CB001_9700_-NONE-_-NONE-,2024-09-27T12:00:00,unknown,LOCKHEED MARTIN CORPORATION,LMT,LMT,exact_public_company,exact_public_company,0.96,0.96,True,True,new_contract_award,new_contract_award,True,5694463081.22,5694463081.22,5694463081.22,5694463081.22,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_GD_N0002423C2305,new_funded_awards,usaspending_CONT_AWD_N0002423C2305_9700_NONE_NONE_,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0002423C2305_9700_-NONE-_-NONE-,2023-08-01T12:00:00,unknown,BATH IRON WORKS CORPORATION,GD,GD,known_subsidiary,known_subsidiary,0.9,0.9,True,True,new_contract_award,new_contract_award,True,5027510800.0,5027510800.0,5027510800.0,5027510800.0,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_LMT_HQ085621C0001,new_funded_awards,usaspending_CONT_AWD_HQ085621C0001_9700_NONE_NONE_,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_HQ085621C0001_9700_-NONE-_-NONE-,2021-03-25T12:00:00,unknown,LOCKHEED MARTIN CORPORATION,LMT,LMT,exact_public_company,exact_public_company,0.96,0.96,True,True,new_contract_award,new_contract_award,True,4603488929.18,4603488929.18,4603488929.18,4603488929.18,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_BA_W58RGZ21C0015,new_funded_awards,usaspending_CONT_AWD_W58RGZ21C0015_9700_NONE_NONE_,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W58RGZ21C0015_9700_-NONE-_-NONE-,2021-06-18T12:00:00,unknown,THE BOEING COMPANY,BA,BA,exact_public_company,exact_public_company,0.94,0.94,True,True,new_contract_award,new_contract_award,True,3472726821.55,3472726821.55,3472726821.55,3472726821.55,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_HII_N0002421C2106,new_funded_awards,usaspending_CONT_AWD_N0002421C2106_9700_NONE_NONE_,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0002421C2106_9700_-NONE-_-NONE-,2021-02-19T12:00:00,unknown,HUNTINGTON INGALLS INC,HII,HII,exact_public_company,exact_public_company,0.95,0.95,True,True,new_contract_award,new_contract_award,True,3368736971.67,3368736971.67,3368736971.67,3368736971.67,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
government_contract_RTX_N0002422C5500,new_funded_awards,usaspending_CONT_AWD_N0002422C5500_9700_NONE_NONE_,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0002422C5500_9700_-NONE-_-NONE-,2022-03-31T12:00:00,unknown,RAYTHEON COMPANY,RTX,RTX,known_subsidiary,known_subsidiary,0.92,0.92,True,True,new_contract_award,new_contract_award,True,3265755418.12,3265755418.12,3265755418.12,3265755418.12,,,True,True,True,False,False,False,False,False,False,True,False,usaspending_record_only_not_market_timestamp,False,rejected,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.
