recipient_name,source_rows,mapped_ticker,public_company_name,subsidiary_name,mapping_type,confidence,model_eligible_mapping_flag,source_types,sample_source_url,review_notes
BOOZ ALLEN HAMILTON INC,103,BAH,Booz Allen Hamilton Holding Corporation,,exact_public_company,0.95,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_36C10B21N10150056_3600_VA11816D1015_3600,
"LEIDOS, INC.",94,LDOS,"Leidos Holdings, Inc.",,exact_public_company,0.94,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_HT003820F0022_9700_N0003915D0044_9700,
PALANTIR TECHNOLOGIES INC.,92,PLTR,Palantir Technologies Inc.,,exact_public_company,0.95,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_89233121FNA400352_8900_GS35F0086U_4730,
RAYTHEON COMPANY,78,RTX,RTX Corporation,Raytheon Company,known_subsidiary,0.92,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0002421C5411_9700_-NONE-_-NONE-,
THE BOEING COMPANY,78,BA,The Boeing Company,,exact_public_company,0.94,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA810721F0008_9700_FA862819D1000_9700,
L3HARRIS TECHNOLOGIES INTEGRATED SYSTEMS L.P.,76,LHX,"L3Harris Technologies, Inc.",,exact_public_company,0.96,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA862021F4801_9700_FA862016G3027_9700,
NORTHROP GRUMMAN SYSTEMS CORPORATION,76,NOC,Northrop Grumman Corporation,,exact_public_company,0.95,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA853921F0007_9700_FA853921D0001_9700,
HII FLEET SUPPORT GROUP LLC,72,HII,HII,HII Fleet Support Group LLC,known_subsidiary,0.88,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N5523621F9990_9700_N0002421D4103_9700,
LOCKHEED MARTIN CORPORATION,70,LMT,Lockheed Martin Corporation,,exact_public_company,0.96,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA868221C0001_9700_-NONE-_-NONE-,
"CACI, INC. - FEDERAL",68,CACI,CACI International Inc,,exact_public_company,0.94,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_47QFMA21F0007_4732_47QTCK18D0009_4732,
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,66,SAIC,Science Applications International Corporation,,exact_public_company,0.94,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W31P4Q21F0033_9700_GS00Q14OADU516_4732,
PALANTIR USG INC,63,PLTR,Palantir Technologies Inc.,,exact_public_company,0.95,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA873521P0001_9700_-NONE-_-NONE-,
"KRATOS UNMANNED AERIAL SYSTEMS, INC",48,KTOS,"Kratos Defense & Security Solutions, Inc.",,exact_public_company,0.94,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W900KK21F0043_9700_W900KK18D0010_9700,
"AEROVIRONMENT, INC",43,AVAV,"AeroVironment, Inc.",,exact_public_company,0.95,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W58RGZ22C0023_9700_-NONE-_-NONE-,
"L3HARRIS TECHNOLOGIES, INC.",40,LHX,"L3Harris Technologies, Inc.",,exact_public_company,0.96,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_1332KP21CNEEO0002_1330_-NONE-_-NONE-,
HUNTINGTON INGALLS INC,37,HII,"Huntington Ingalls Industries, Inc.",,exact_public_company,0.95,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0002421C2104_9700_-NONE-_-NONE-,
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",35,GD,General Dynamics Corporation,,exact_public_company,0.95,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_70FB8021F00000016_7022_GS35F393CA_4732,
"AEROVIRONMENT, INC.",26,AVAV,"AeroVironment, Inc.",,exact_public_company,0.95,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W911QY21F0122_9700_W911QY18D0192_9700,
"MICRO SYSTEMS, INC",23,KTOS,"Kratos Defense & Security Solutions, Inc.","Micro Systems, Inc.",known_subsidiary,0.88,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W900KK21F0034_9700_W31P4Q18D0021_9700,
GENERAL DYNAMICS LAND SYSTEMS INC.,22,GD,General Dynamics Corporation,,exact_public_company,0.95,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W56HZV21F0137_9700_W56HZV19D0054_9700,
PHYSICAL OPTICS CORPORATION,20,MRCY,"Mercury Systems, Inc.",Physical Optics Corporation,known_subsidiary,0.86,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N6833521F0198_9700_N6833520D0032_9700,
"CACI NSS, LLC",18,CACI,CACI International Inc,,exact_public_company,0.94,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_70RFP321FCEH00012_7001_70RTAC20A00000003_7001,
HUNTINGTON INGALLS INCORPORATED,17,HII,"Huntington Ingalls Industries, Inc.",,exact_public_company,0.95,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0002421C2443_9700_-NONE-_-NONE-,
"L3HARRIS GLOBAL COMMUNICATIONS, INC.",17,LHX,"L3Harris Technologies, Inc.",,exact_public_company,0.95,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W91CRB21F5135_9700_W91CRB21D5003_9700,
NORTHROP GRUMMAN SYSTEMS CORP,14,NOC,Northrop Grumman Corporation,,exact_public_company,0.95,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA811021F0001_9700_FA861614D6060_9700,
"INTUITIVE MACHINES, LLC",11,LUNR,"Intuitive Machines, Inc.",,exact_public_company,0.94,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_80LARC21C0007_8000_-NONE-_-NONE-,
"KRATOS TECHNOLOGY & TRAINING SOLUTIONS, INC.",11,KTOS,"Kratos Defense & Security Solutions, Inc.",,exact_public_company,0.94,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_1332KP23PNEEB0014_1330_-NONE-_-NONE-,
"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",10,SAIC,Science Applications International Corporation,,exact_public_company,0.94,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_70Z08421FPD401800_7008_W52P1J18DA047_9700,
"KRATOS DEFENSE & ROCKET SUPPORT SERVICES, INC.",10,KTOS,"Kratos Defense & Security Solutions, Inc.",,exact_public_company,0.95,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N6600122F0040_9700_N6600121D0074_9700,
BELL BOEING JOINT PROJECT OFFICE,9,BA,The Boeing Company,,exact_public_company,0.92,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0038321F0U51_9700_N0038319DU501_9700,
"GENERAL DYNAMICS-OTS, INC.",9,GD,General Dynamics Corporation,,exact_public_company,0.95,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W31P4Q21F0188_9700_W31P4Q20D0023_9700,
RTX CORPORATION,9,RTX,RTX Corporation,,exact_public_company,0.96,True,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_FA862621F0023_9700_FA862616D0028_9700,
