event_id,ticker,recipient_name,award_id,contract_number,award_date,announcement_time,announcement_source_type,announcement_source_url,announcement_title,announcement_text_excerpt,source_confidence,link_confidence,link_notes
government_contract_LUNR_80JSC024F0079,LUNR,"INTUITIVE MACHINES, LLC",80JSC024F0079,80JSC024F0079,2024-08-29,2024-08-29T16:21:00-04:00,investor_relations,https://investors.intuitivemachines.com/news-releases/news-release-details/intuitive-machines-strengthens-lunar-service-capabilities-1169/,Intuitive Machines Strengthens Lunar Service Capabilities with $116.9 million NASA Lunar Contract Award,Intuitive Machines announced NASA awarded a $116.9 million Commercial Lunar Payload Services contract to deliver science and technology payloads to the Moon's South Pole. Linked to USAspending CLPS delivery order 80JSC024F0079 for Intuitive Machines.,0.95,0.91,"Market-public company IR release with explicit 4:21 PM EDT timestamp. Public award amount is $116.9M while current USAspending obligation snapshot is $88.0M, so amount feature should be refreshed before modeling."
government_contract_LUNR_80GSFC24CA018,LUNR,"INTUITIVE MACHINES, LLC",80GSFC24CA018,80GSFC24CA018,2024-10-01,2024-09-17T16:40:09-04:00,sec_8k,https://investors.intuitivemachines.com/node/8936/html,NASA Awards Intuitive Machines Near Space Network Contract with a Maximum Potential Value of $4.82 Billion,Intuitive Machines filed an 8-K stating NASA awarded the company a Near Space Network contract with maximum potential value of $4.82 billion and initial incrementally funded task orders totaling $150 million. Linked to USAspending contract 80GSFC24CA018 for Near Space Network services.,0.95,0.88,SEC 8-K gives market-public timestamp and distinguishes $4.82B ceiling from $150M initial funded task orders. USAspending row currently carries $27.0M obligation and needs source-snapshot reconciliation.
government_contract_AVAV_W91CRB24F0412,AVAV,"AEROVIRONMENT, INC",W91CRB24F0412,W91CRB24F0412,2024-08-30,2024-09-04T16:10:00-04:00,investor_relations,https://investor.avinc.com/news-releases/news-release-details/aerovironment-announces-fiscal-2025-first-quarter-results,AeroVironment Announces Fiscal 2025 First Quarter Results,"AeroVironment reported it was awarded a U.S. Army Lethal Unmanned Systems IDIQ with a record contract ceiling value of $990 million and initial funding of $128 million. Linked to delivery order W91CRB24F0412 for Switchblade all-up rounds, fire control systems, and chargers.",0.91,0.84,IR release provides explicit 4:10 PM EDT timestamp and confirms initial funding close to the USAspending $128.0M delivery-order obligation. Contract number is linked through the government award row rather than named in the release.
government_contract_AVAV_W91CRB25F0067,AVAV,"AEROVIRONMENT, INC",W91CRB25F0067,W91CRB25F0067,2024-12-17,2025-01-13T16:10:00-05:00,investor_relations,https://investor.avinc.com/news-releases/news-release-details/av-announces-second-delivery-order-990-million-contract-us-army,AV Announces Second Delivery Order on $990 Million Contract with U.S. Army,AeroVironment announced a second delivery order totaling $55.3 million for Switchblade loitering munition systems under the U.S. Army $990 million IDIQ. Linked to delivery order W91CRB25F0067.,0.94,0.90,Company IR release has explicit 4:10 PM EST timestamp and amount matches the USAspending $55.5M obligation closely.
government_contract_AVAV_W91CRB25F0094,AVAV,"AEROVIRONMENT, INC",W91CRB25F0094,W91CRB25F0094,2025-01-18,2025-02-03T17:00:00-05:00,investor_relations,https://investor.avinc.com/news-releases/news-release-details/av-secures-288-million-delivery-order-990-million-contract-us,AV Secures $288 Million Delivery Order on $990 Million Contract with U.S. Army,AeroVironment announced its third delivery order totaling $288 million for Switchblade loitering munition systems under the U.S. Army Lethal Unmanned Systems contract. Linked to delivery order W91CRB25F0094.,0.94,0.87,"Company IR release has explicit 5:00 PM EST timestamp. USAspending current obligation snapshot is $218.1M after later actions, so original public award amount should be preserved separately before modeling."
government_contract_HII_N0002421C2106,HII,HUNTINGTON INGALLS INC,N0002421C2106,N0002421C2106,2021-02-19,2021-02-19T17:00:00-05:00,dod_contract_announcement,https://www.defense.gov/News/Contracts/Contract/Article/2509592/,"Contracts For Feb. 19, 2021","DoD announced Huntington Ingalls Industries' Newport News Shipbuilding Division was awarded a $2.994 billion contract for USS John C. Stennis refueling complex overhaul, with $1.048 billion obligated at time of award. Contracting activity N00024-21-C-2106 maps to USAspending N0002421C2106.",0.88,0.83,"Official DoD daily contract page is treated as a 5 PM ET market-public announcement. Current USAspending obligation snapshot is $3.37B, above the initial public award, so amount snapshot needs reconciliation."
government_contract_BKSY_FA945324C0001,BKSY,"BLACKSKY GEOSPATIAL SOLUTIONS, LLC",FA945324C0001,FA945324C0001,2024-03-15,2024-03-13T08:30:00-04:00,company_press_release,https://www.nasdaq.com/press-release/blacksky-wins-competitive-%2424-million-air-force-research-laboratory-contract-for,BlackSky Wins Competitive $24 Million Air Force Research Laboratory Contract for Global Moving Target Engagement,"Nasdaq-hosted Business Wire release published Mar. 13, 2024 at 8:30 AM EDT states BlackSky won a competitive $24 million Air Force Research Laboratory ceiling contract and that an initial award of $3.5 million was obligated at the time of award. Linked to USAspending award FA945324C0001.",0.92,0.92,Exact market-public timestamp verified from Nasdaq/Business Wire mirror. Keep ceiling and initial obligated amount separate before modeling.
government_contract_RKLB_FA881824FB016,RKLB,ROCKET LAB USA INC,FA881824FB016,FA881824FB016,2024-04-08,2024-04-08T18:30:00-04:00,company_press_release,https://www.nasdaq.com/press-release/u.s.-space-force-awards-rocket-lab-launch-contract-for-space-test-program-stp-s30,U.S. Space Force Awards Rocket Lab Launch Contract for Space Test Program (STP)-S30,"Nasdaq-hosted Business Wire release published Apr. 8, 2024 at 6:30 PM EDT states Rocket Lab was awarded a $14.49 million task order by the U.S. Space Force to launch the Space Test Program-30 mission from Launch Complex 2. Linked to USAspending award FA881824FB016.",0.92,0.92,Exact market-public timestamp verified from Nasdaq/Business Wire mirror; amount and mission match the government row.
government_contract_PL_80HQTR25FA012,PL,"PLANET LABS FEDERAL, INC.",80HQTR25FA012,80HQTR25FA012,2024-11-25,2024-12-09T16:08:00-05:00,sec_filing,https://www.sec.gov/Archives/edgar/data/1836833/000183683324000117/exhibit991q32025.htm,Planet Reports Financial Results for Third Quarter of Fiscal Year 2025,"Planet disclosed that on November 25, 2024 it received a NASA Commercial SmallSat Data Acquisition order valued at approximately $19.95 million for a one-year period of performance. Linked to delivery order 80HQTR25FA012.",0.91,0.88,SEC-hosted earnings exhibit has market-public timestamp from release distribution. This row lacks market-cap materiality in the current enriched corpus and should remain ineligible until context is filled.
government_contract_KTOS_N0001923C0021,KTOS,"KRATOS UNMANNED AERIAL SYSTEMS, INC",N0001923C0021,N0001923C0021,2023-01-31,2023-02-23T16:15:00-05:00,company_press_release,https://www.globenewswire.com/news-release/2023/02/23/2614841/224/en/Naval-Air-Systems-Command-Awards-Kratos-Sole-Source-49-6-Million-Initial-Contract-for-Full-Rate-Production-Lot-4-of-the-BQM-177A-Subsonic-Aerial-Target-System.html,Naval Air Systems Command Awards Kratos Sole Source $49.6 Million Initial Contract for Full Rate Production (Lot 4) of the BQM-177A Subsonic Aerial Target System,"GlobeNewswire release at Feb. 23, 2023 16:15 ET says Kratos received a $49.568 million Full Rate Production Lot 4 contract from the U.S. Navy for the BQM-177A Subsonic Aerial Target. Linked to USAspending/NAVAIR contract N0001923C0021.",0.93,0.86,Exact market-public timestamp verified from GlobeNewswire; link is to the public company release and the award amount/program match the government row.
