source_doc_id,ticker,event_id,event_time,event_type,event_subtype,release_session,source_type,source_url,title,path,text,fiscal_period_end,sector_benchmark,notes,recipient_name,mapped_ticker,parent_company_name,subsidiary_name,mapping_type,recipient_mapping_confidence,agency,sub_agency,award_amount,obligated_amount,contract_ceiling,award_type,contract_type,contract_number,task_order_number,modification_number,period_of_performance_start,period_of_performance_end,product_or_service_description,naics_code,psc_code,location,prime_or_sub
usaspending_CONT_AWD_W900KK21F0034_9700_W31P4Q18D0021_9700,KTOS,government_contract_KTOS_W900KK21F0034,2021-01-14T12:00:00,government_contract,usaspending_award,unknown,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W900KK21F0034_9700_W31P4Q18D0021_9700,"USAspending award W900KK21F0034 to MICRO SYSTEMS, INC",,"Government contract source row. Recipient: MICRO SYSTEMS, INC. Award ID: W900KK21F0034. Agency: Department of Defense. Sub-agency: Department of the Army. Contract award type: DELIVERY ORDER. Award amount: 1890154.84. Obligated amount: 1890154.84. NAICS: 336413. PSC: 1270. Description: FOR THE PURCHASE OF PRE-PRICED PARTS FROM THE ARMY GROUND AERIAL TARGET CONTROL SYSTEM, CONTRACT.. Period of performance: 2021-01-14 to 2022-11-30. NAICS description: OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING. PSC description: AIRCRAFT GUNNERY FIRE CONTROL COMPONENTS.",,,"{""agency_slug"": ""department-of-defense"", ""generated_internal_id"": ""CONT_AWD_W900KK21F0034_9700_W31P4Q18D0021_9700"", ""government_contract_source"": true, ""mapping_notes"": ""No recipient mapping match."", ""usaspending_internal_id"": 349161496}","MICRO SYSTEMS, INC",KTOS,"Kratos Defense & Security Solutions, Inc.","Micro Systems, Inc.",known_subsidiary,0.88,Department of Defense,Department of the Army,1890154.84,1890154.84,,DELIVERY ORDER,DELIVERY ORDER,W900KK21F0034,W900KK21F0034,,2021-01-14,2022-11-30,"FOR THE PURCHASE OF PRE-PRICED PARTS FROM THE ARMY GROUND AERIAL TARGET CONTROL SYSTEM, CONTRACT.",336413,1270,,prime
usaspending_CONT_AWD_H9240821F0007_9700_H9240820D0003_9700,AVAV,government_contract_AVAV_H9240821F0007,2021-02-04T12:00:00,government_contract,usaspending_award,unknown,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_H9240821F0007_9700_H9240820D0003_9700,"USAspending award H9240821F0007 to ARCTURUS UAV, INC",,"Government contract source row. Recipient: ARCTURUS UAV, INC. Award ID: H9240821F0007. Agency: Department of Defense. Sub-agency: U.S. Special Operations Command. Contract award type: DELIVERY ORDER. Award amount: 13943566.27. Obligated amount: 13943566.27. NAICS: 541330. PSC: L015. Description: IRS SERVICES. Period of performance: 2021-02-04 to 2023-01-20. NAICS description: ENGINEERING SERVICES. PSC description: TECHNICAL REPRESENTATIVE- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS.",,,"{""agency_slug"": ""department-of-defense"", ""generated_internal_id"": ""CONT_AWD_H9240821F0007_9700_H9240820D0003_9700"", ""government_contract_source"": true, ""mapping_notes"": ""No recipient mapping match."", ""usaspending_internal_id"": 306341047}","ARCTURUS UAV, INC",AVAV,"AeroVironment, Inc.","Arcturus UAV, Inc.",known_subsidiary,0.88,Department of Defense,U.S. Special Operations Command,13943566.27,13943566.27,,DELIVERY ORDER,DELIVERY ORDER,H9240821F0007,H9240821F0007,,2021-02-04,2023-01-20,IRS SERVICES,541330,L015,,prime
usaspending_CONT_AWD_N6833521F0171_9700_N6833521D0214_9700,KTOS,government_contract_KTOS_N6833521F0171,2021-02-10T12:00:00,government_contract,usaspending_award,unknown,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N6833521F0171_9700_N6833521D0214_9700,"USAspending award N6833521F0171 to GICHNER SYSTEMS GROUP, INC.",,"Government contract source row. Recipient: GICHNER SYSTEMS GROUP, INC.. Award ID: N6833521F0171. Agency: Department of Defense. Sub-agency: Department of the Navy. Contract award type: DELIVERY ORDER. Award amount: 3094998.0. Obligated amount: 3094998.0. NAICS: 332311. PSC: 5411. Description: MOBILE FACILITIES. Period of performance: 2021-02-10 to 2022-01-26. NAICS description: PREFABRICATED METAL BUILDING AND COMPONENT MANUFACTURING. PSC description: RIGID WALL SHELTERS.",,,"{""agency_slug"": ""department-of-defense"", ""generated_internal_id"": ""CONT_AWD_N6833521F0171_9700_N6833521D0214_9700"", ""government_contract_source"": true, ""mapping_notes"": ""No recipient mapping match."", ""usaspending_internal_id"": 311097689}","GICHNER SYSTEMS GROUP, INC.",KTOS,"Kratos Defense & Security Solutions, Inc.","Gichner Systems Group, Inc.",known_subsidiary,0.86,Department of Defense,Department of the Navy,3094998.0,3094998.0,,DELIVERY ORDER,DELIVERY ORDER,N6833521F0171,N6833521F0171,,2021-02-10,2022-01-26,MOBILE FACILITIES,332311,5411,,prime
usaspending_CONT_AWD_N5523621F9990_9700_N0002421D4103_9700,HII,government_contract_HII_N5523621F9990,2021-02-15T12:00:00,government_contract,usaspending_award,unknown,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N5523621F9990_9700_N0002421D4103_9700,USAspending award N5523621F9990 to HII FLEET SUPPORT GROUP LLC,,Government contract source row. Recipient: HII FLEET SUPPORT GROUP LLC. Award ID: N5523621F9990. Agency: Department of Defense. Sub-agency: Department of the Navy. Contract award type: DELIVERY ORDER. Award amount: 7868792.0. Obligated amount: 7868792.0. NAICS: 336611. PSC: J999. Description: LABOR SUPPORT. Period of performance: 2021-02-15 to 2022-01-28. NAICS description: SHIP BUILDING AND REPAIRING. PSC description: NON-NUCLEAR SHIP REPAIR (WEST).,,,"{""agency_slug"": ""department-of-defense"", ""generated_internal_id"": ""CONT_AWD_N5523621F9990_9700_N0002421D4103_9700"", ""government_contract_source"": true, ""mapping_notes"": ""No recipient mapping match."", ""usaspending_internal_id"": 310656578}",HII FLEET SUPPORT GROUP LLC,HII,HII,HII Fleet Support Group LLC,known_subsidiary,0.88,Department of Defense,Department of the Navy,7868792.0,7868792.0,,DELIVERY ORDER,DELIVERY ORDER,N5523621F9990,N5523621F9990,,2021-02-15,2022-01-28,LABOR SUPPORT,336611,J999,,prime
usaspending_CONT_AWD_N6833521F0198_9700_N6833520D0032_9700,MRCY,government_contract_MRCY_N6833521F0198,2021-02-26T12:00:00,government_contract,usaspending_award,unknown,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N6833521F0198_9700_N6833520D0032_9700,USAspending award N6833521F0198 to PHYSICAL OPTICS CORPORATION,,"Government contract source row. Recipient: PHYSICAL OPTICS CORPORATION. Award ID: N6833521F0198. Agency: Department of Defense. Sub-agency: Department of the Navy. Contract award type: DELIVERY ORDER. Award amount: 17070905.23. Obligated amount: 17070905.23. NAICS: 541715. PSC: AC12. Description: FY 21 ADTS HARDWARE PURCHASE FOR MULTI PLATFORMS. Period of performance: 2021-02-26 to 2022-06-30. NAICS description: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY). PSC description: NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; APPLIED RESEARCH.",,,"{""agency_slug"": ""department-of-defense"", ""generated_internal_id"": ""CONT_AWD_N6833521F0198_9700_N6833520D0032_9700"", ""government_contract_source"": true, ""mapping_notes"": ""No recipient mapping match."", ""usaspending_internal_id"": 311097716}",PHYSICAL OPTICS CORPORATION,MRCY,"Mercury Systems, Inc.",Physical Optics Corporation,known_subsidiary,0.86,Department of Defense,Department of the Navy,17070905.23,17070905.23,,DELIVERY ORDER,DELIVERY ORDER,N6833521F0198,N6833521F0198,,2021-02-26,2022-06-30,FY 21 ADTS HARDWARE PURCHASE FOR MULTI PLATFORMS,541715,AC12,,prime
usaspending_CONT_AWD_W900KK21F0051_9700_W31P4Q18D0021_9700,KTOS,government_contract_KTOS_W900KK21F0051,2021-02-28T12:00:00,government_contract,usaspending_award,unknown,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_W900KK21F0051_9700_W31P4Q18D0021_9700,"USAspending award W900KK21F0051 to MICRO SYSTEMS, INC",,"Government contract source row. Recipient: MICRO SYSTEMS, INC. Award ID: W900KK21F0051. Agency: Department of Defense. Sub-agency: Department of the Army. Contract award type: DELIVERY ORDER. Award amount: 1925823.8. Obligated amount: 1925823.8. NAICS: 336413. PSC: 1270. Description: PRODUCTION LINE ITEM AY11400-3. PRE-PRICED PRODUCTION PARTS. PARTS NEEDED TO SUPPORT THE OPERATION AND MAINTENANCE OF THE ARMY GROUND AERIAL CONTROL SYSTEM.. Period of performance: 2021-02-28 to 2022-03-25. NAICS description: OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING. PSC description: AIRCRAFT GUNNERY FIRE CONTROL COMPONENTS.",,,"{""agency_slug"": ""department-of-defense"", ""generated_internal_id"": ""CONT_AWD_W900KK21F0051_9700_W31P4Q18D0021_9700"", ""government_contract_source"": true, ""mapping_notes"": ""No recipient mapping match."", ""usaspending_internal_id"": 349161513}","MICRO SYSTEMS, INC",KTOS,"Kratos Defense & Security Solutions, Inc.","Micro Systems, Inc.",known_subsidiary,0.88,Department of Defense,Department of the Army,1925823.8,1925823.8,,DELIVERY ORDER,DELIVERY ORDER,W900KK21F0051,W900KK21F0051,,2021-02-28,2022-03-25,PRODUCTION LINE ITEM AY11400-3. PRE-PRICED PRODUCTION PARTS. PARTS NEEDED TO SUPPORT THE OPERATION AND MAINTENANCE OF THE ARMY GROUND AERIAL CONTROL SYSTEM.,336413,1270,,prime
usaspending_CONT_AWD_N5005421F5074_9700_N5005414D1408_9700,HII,government_contract_HII_N5005421F5074,2021-03-07T12:00:00,government_contract,usaspending_award,unknown,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N5005421F5074_9700_N5005414D1408_9700,USAspending award N5005421F5074 to HII FLEET SUPPORT GROUP LLC,,Government contract source row. Recipient: HII FLEET SUPPORT GROUP LLC. Award ID: N5005421F5074. Agency: Department of Defense. Sub-agency: Department of the Navy. Contract award type: DELIVERY ORDER. Award amount: 4707753.95. Obligated amount: 4707753.95. NAICS: 336611. PSC: J998. Description: BRIDGE - OPTION 1 - SEVENTH YEAR EFFORT. Period of performance: 2021-03-07 to 2021-08-03. NAICS description: SHIP BUILDING AND REPAIRING. PSC description: NON-NUCLEAR SHIP REPAIR (EAST).,,,"{""agency_slug"": ""department-of-defense"", ""generated_internal_id"": ""CONT_AWD_N5005421F5074_9700_N5005414D1408_9700"", ""government_contract_source"": true, ""mapping_notes"": ""No recipient mapping match."", ""usaspending_internal_id"": 310644538}",HII FLEET SUPPORT GROUP LLC,HII,HII,HII Fleet Support Group LLC,known_subsidiary,0.88,Department of Defense,Department of the Navy,4707753.95,4707753.95,,DELIVERY ORDER,DELIVERY ORDER,N5005421F5074,N5005421F5074,,2021-03-07,2021-08-03,BRIDGE - OPTION 1 - SEVENTH YEAR EFFORT,336611,J998,,prime
usaspending_CONT_AWD_N0001921F0149_9700_N0001919D0020_9700,KTOS,government_contract_KTOS_N0001921F0149,2021-03-16T12:00:00,government_contract,usaspending_award,unknown,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0001921F0149_9700_N0001919D0020_9700,"USAspending award N0001921F0149 to MICRO SYSTEMS, INC",,"Government contract source row. Recipient: MICRO SYSTEMS, INC. Award ID: N0001921F0149. Agency: Department of Defense. Sub-agency: Department of the Navy. Contract award type: DELIVERY ORDER. Award amount: 2814123.15. Obligated amount: 2814123.15. NAICS: 336419. PSC: 1420. Description: AIRBORNE TRANSPONDER , MODEL 600TR. Period of performance: 2021-03-16 to 2022-04-21. NAICS description: OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING. PSC description: GUIDED MISSILE COMPONENTS.",,,"{""agency_slug"": ""department-of-defense"", ""generated_internal_id"": ""CONT_AWD_N0001921F0149_9700_N0001919D0020_9700"", ""government_contract_source"": true, ""mapping_notes"": ""No recipient mapping match."", ""usaspending_internal_id"": 309497506}","MICRO SYSTEMS, INC",KTOS,"Kratos Defense & Security Solutions, Inc.","Micro Systems, Inc.",known_subsidiary,0.88,Department of Defense,Department of the Navy,2814123.15,2814123.15,,DELIVERY ORDER,DELIVERY ORDER,N0001921F0149,N0001921F0149,,2021-03-16,2022-04-21,"AIRBORNE TRANSPONDER , MODEL 600TR",336419,1420,,prime
usaspending_CONT_AWD_N0001921F0368_9700_N0001918D0109_9700,KTOS,government_contract_KTOS_N0001921F0368,2021-03-17T12:00:00,government_contract,usaspending_award,unknown,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N0001921F0368_9700_N0001918D0109_9700,"USAspending award N0001921F0368 to MICRO SYSTEMS, INC",,"Government contract source row. Recipient: MICRO SYSTEMS, INC. Award ID: N0001921F0368. Agency: Department of Defense. Sub-agency: Department of the Navy. Contract award type: DELIVERY ORDER. Award amount: 3516412.8. Obligated amount: 3516412.8. NAICS: 334511. PSC: 1420. Description: AN/DSQ-50A TRANSPONDER, L BAND. Period of performance: 2021-03-17 to 2021-11-12. NAICS description: SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING. PSC description: GUIDED MISSILE COMPONENTS.",,,"{""agency_slug"": ""department-of-defense"", ""generated_internal_id"": ""CONT_AWD_N0001921F0368_9700_N0001918D0109_9700"", ""government_contract_source"": true, ""mapping_notes"": ""No recipient mapping match."", ""usaspending_internal_id"": 309497671}","MICRO SYSTEMS, INC",KTOS,"Kratos Defense & Security Solutions, Inc.","Micro Systems, Inc.",known_subsidiary,0.88,Department of Defense,Department of the Navy,3516412.8,3516412.8,,DELIVERY ORDER,DELIVERY ORDER,N0001921F0368,N0001921F0368,,2021-03-17,2021-11-12,"AN/DSQ-50A TRANSPONDER, L BAND",334511,1420,,prime
usaspending_CONT_AWD_N6279321F0001_9700_N0002421D4103_9700,HII,government_contract_HII_N6279321F0001,2021-03-22T12:00:00,government_contract,usaspending_award,unknown,usaspending_api,https://www.usaspending.gov/award/CONT_AWD_N6279321F0001_9700_N0002421D4103_9700,USAspending award N6279321F0001 to HII FLEET SUPPORT GROUP LLC,,Government contract source row. Recipient: HII FLEET SUPPORT GROUP LLC. Award ID: N6279321F0001. Agency: Department of Defense. Sub-agency: Department of the Navy. Contract award type: DELIVERY ORDER. Award amount: 6783656.56. Obligated amount: 6783656.56. NAICS: 336611. PSC: 1905. Description: CVN 74 RCOH ESU. Period of performance: 2021-03-22 to 2022-03-21. NAICS description: SHIP BUILDING AND REPAIRING. PSC description: COMBAT SHIPS AND LANDING VESSELS.,,,"{""agency_slug"": ""department-of-defense"", ""generated_internal_id"": ""CONT_AWD_N6279321F0001_9700_N0002421D4103_9700"", ""government_contract_source"": true, ""mapping_notes"": ""No recipient mapping match."", ""usaspending_internal_id"": 310817559}",HII FLEET SUPPORT GROUP LLC,HII,HII,HII Fleet Support Group LLC,known_subsidiary,0.88,Department of Defense,Department of the Navy,6783656.56,6783656.56,,DELIVERY ORDER,DELIVERY ORDER,N6279321F0001,N6279321F0001,,2021-03-22,2022-03-21,CVN 74 RCOH ESU,336611,1905,,prime
