ticker,sector_benchmark,notes
AAPL,XLK,Example technology universe; verify current suitability before research use.
MSFT,XLK,Example technology universe; verify current suitability before research use.
NVDA,XLK,Example technology universe; verify current suitability before research use.
AMD,XLK,Example technology universe; verify current suitability before research use.
AVGO,XLK,Example technology universe; verify current suitability before research use.
ADBE,XLK,Example technology universe; verify current suitability before research use.
CRM,XLK,Example technology universe; verify current suitability before research use.
ORCL,XLK,Example technology universe; verify current suitability before research use.
CSCO,XLK,Example technology universe; verify current suitability before research use.
INTC,XLK,Example technology universe; verify current suitability before research use.
